table,text,translation
COLOR,{NAME},{NAME}
COLOR:NAME,amber,호박색
COLOR:NAME,amethyst,자수정색
COLOR:NAME,apple green,애플 그린
COLOR:NAME,aqua,아쿠아색
COLOR:NAME,aquamarine,아쿠아마린색
COLOR:NAME,ash gray,회백색
COLOR:NAME,auburn,적갈색
COLOR:NAME,azure,애저색
COLOR:NAME,beige,베이지색
COLOR:NAME,black,검은색
COLOR:NAME,blue,파란색
COLOR:NAME,blue-gray,청회색
COLOR:NAME,brass,황동색
COLOR:NAME,bright green,밝은 초록색
COLOR:NAME,bronze,청동색
COLOR:NAME,brown,갈색
COLOR:NAME,buff,연황갈색
COLOR:NAME,burnt sienna,번트 시에나
COLOR:NAME,burnt umber,번트 엄버
COLOR:NAME,cardinal,카디널 레드
COLOR:NAME,carmine,카민 레드
COLOR:NAME,cerulean,세룰리언 블루
COLOR:NAME,charcoal,차콜 그레이
COLOR:NAME,chartreuse,샤르트뢰즈 그린
COLOR:NAME,chestnut,밤색
COLOR:NAME,chocolate,초콜릿색
COLOR:NAME,cinnamon,계피색
COLOR:NAME,clear,투명색
COLOR:NAME,cobalt,코발트 블루
COLOR:NAME,copper,구리색
COLOR:NAME,cornflower,수레국화 블루
COLOR:NAME,cream,크림색
COLOR:NAME,crimson,진홍색
COLOR:NAME,crocus purple,크로커스 보라색
COLOR:NAME,dark azure,짙은 애저색
COLOR:NAME,dark blue,짙은 파란색
COLOR:NAME,dark brown,짙은 갈색
COLOR:NAME,dark chestnut,짙은 밤색
COLOR:NAME,dark green,짙은 초록색
COLOR:NAME,dark indigo,짙은 남색
COLOR:NAME,dark olive,짙은 올리브색
COLOR:NAME,dark peach,짙은 복숭아색
COLOR:NAME,dark pink,짙은 분홍색
COLOR:NAME,dark scarlet,짙은 선홍색
COLOR:NAME,dark tan,짙은 황갈색
COLOR:NAME,dark violet,짙은 보라색
COLOR:NAME,deep sea blue,심해 파란색
COLOR:NAME,ecru,에크루색
COLOR:NAME,eggplant,가지 보라색
COLOR:NAME,emerald,에메랄드 녹색
COLOR:NAME,eucalyptus,유칼립투스 녹색
COLOR:NAME,fern green,양치류 녹색
COLOR:NAME,flax,아마색
COLOR:NAME,foxglove,폭스글러브 보라색
COLOR:NAME,fuchsia,자홍색
COLOR:NAME,glacier blue,빙하 파란색
COLOR:NAME,gold,금색
COLOR:NAME,golden yellow,금황색
COLOR:NAME,goldenrod,골든로드색
COLOR:NAME,grass green,잔디 녹색
COLOR:NAME,gray,회색
COLOR:NAME,green,녹색
COLOR:NAME,green-yellow,황록색
COLOR:NAME,heliotrope,헬리오트로프 보라색
COLOR:NAME,indigo,인디고색
COLOR:NAME,ivory,아이보리색
COLOR:NAME,jade,비취색
COLOR:NAME,lavender,라벤더색
COLOR:NAME,lavender blush,라벤더 블러시
COLOR:NAME,leaf green,잎사귀 녹색
COLOR:NAME,lemon,레몬색
COLOR:NAME,light blue,연한 파란색
COLOR:NAME,light brown,연한 갈색
COLOR:NAME,lilac,라일락색
COLOR:NAME,lime,라임 녹색
COLOR:NAME,mahogany,마호가니색
COLOR:NAME,maroon,마룬색
COLOR:NAME,mauve,모브색
COLOR:NAME,mauve taupe,모브 토프색
COLOR:NAME,midnight blue,미드나이트 블루
COLOR:NAME,mint green,민트 녹색
COLOR:NAME,moss green,이끼 녹색
COLOR:NAME,ochre,황토색
COLOR:NAME,olive,올리브색
COLOR:NAME,orange,주황색
COLOR:NAME,orchid pink,오키드 핑크
COLOR:NAME,pale blue,옅은 파란색
COLOR:NAME,pale brown,옅은 갈색
COLOR:NAME,pale chestnut,옅은 밤색
COLOR:NAME,pale pink,옅은 분홍색
COLOR:NAME,peach,복숭아색
COLOR:NAME,pearl,진주색
COLOR:NAME,periwinkle,페리윙클 블루
COLOR:NAME,pine green,소나무 녹색
COLOR:NAME,pink,분홍색
COLOR:NAME,plum,플럼색
COLOR:NAME,puce,어두운 자주빛 갈색
COLOR:NAME,pumpkin,호박색
COLOR:NAME,purple,보라색
COLOR:NAME,raspberry pink,라즈베리 핑크
COLOR:NAME,raw umber,로우 엄버
COLOR:NAME,red,빨간색
COLOR:NAME,red-purple,적자색
COLOR:NAME,river blue,강가 파란색
COLOR:NAME,rose,장미색
COLOR:NAME,russet,적갈색
COLOR:NAME,rust,녹슨색
COLOR:NAME,saffron,사프란색
COLOR:NAME,sapphire,사파이어 블루
COLOR:NAME,scarlet,선홍색
COLOR:NAME,sea foam,바다 거품 녹색
COLOR:NAME,sea green,바다 녹색
COLOR:NAME,sepia,세피아색
COLOR:NAME,silver,은색
COLOR:NAME,sky blue,하늘색
COLOR:NAME,slate gray,슬레이트 그레이
COLOR:NAME,spring green,스프링 그린
COLOR:NAME,tan,탠색
COLOR:NAME,taupe,토프색
COLOR:NAME,taupe gray,토프 그레이
COLOR:NAME,dark taupe,다크 토프
COLOR:NAME,taupe medium,미디엄 토프
COLOR:NAME,pale taupe,페일 토프
COLOR:NAME,purple taupe,퍼플 토프
COLOR:NAME,rose taupe,로즈 토프
COLOR:NAME,sandy taupe,샌디 토프
COLOR:NAME,teal,청록색
COLOR:NAME,turquoise,터키석색
COLOR:NAME,ultramarine,군청색
COLOR:NAME,vermilion,주홍색
COLOR:NAME,vibrant green,선명한 녹색
COLOR:NAME,violet,바이올렛
COLOR:NAME,white,흰색
COLOR:NAME,woodland green,삼림 녹색
COLOR:NAME,yellow,노란색
COLOR:NAME,yellow-green,황록색
COLOR:NAME,zesty green,상큼한 녹색
