help_id,help_name,section_id,title,title_translation,document,document_translation
0,WORLD_GEN_MESSAGE,0,Welcome to Dwarf Fortress,欢迎来到矮人要塞,"Prepare to guide your stout charges to fortune in a world fraught with many perils. You'll begin by creating your world and watching the region's history unfold. Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.",准备好引导你勇敢的矮人们在危机四伏的世界中走向命运吧。你将生成一个世界并观察其中的历史演变。在该过程完成后，你就可以组建一支队伍并派遣他们进入群山深处以寻求财富。随着挖掘的深入和更多的居民加入你的哨所，你的所作所为将吸引各方注意，无论你意愿如何。应对突如其来的挑战，也许某一天你会发现你那简陋的定居点已然发展为一座山地之家，并成为母文明的中心。
1,EMBARK_TUTORIAL_CHOICE,0,Quick start and short tutorial?,来个简短教程并快速入门？,Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial? Non-interactive help will be available whatever you decide.,想要在这个世界中寻找一片森林茂密且矿产丰富的地区来建立你的要塞并进行一个简短教程么？无论作出哪种选择你还是可以在游戏中找到非交互的帮助。
2,EMBARK_MESSAGE,0,On your own!,看你的了！,"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them![B]After you embark, help is available by pressing the help button in the top right corner, including all of the tutorials.",这是你首次游玩的话，请注意出发时关于含水层、咸水和其他危险的警告。有些地点甚至对老玩家来讲也充满挑战，如果你不知道如何应对，游戏很可能会很快结束！[B]出发后你可以通过点击右上角的帮助按钮来获取帮助，其中包含了所有的教程。
3,START_TUTORIAL_CAMERA_CONTROLS,0,Camera controls,视图控制,"Your view is focused on one elevation at a time.  To move the camera around, press [KEY:23] [KEY:25] [KEY:24] [KEY:26] or hold the middle mouse button and drag the view.",你的视野每次只能停留在一个高度上。  要移动摄像机，请通过键盘上的 [KEY:23] [KEY:25] [KEY:24] [KEY:26] 或者按住鼠标中键并拖动视角。
3,START_TUTORIAL_CAMERA_CONTROLS,1,,,"To change the camera's elevation, press [KEY:39] and [KEY:40] or [C:2:0:1]roll the mouse wheel[C:7:0:0].  Hold shift to move faster.",要调整当前聚焦的高度，请通过键盘上的 [KEY:39] 和 [KEY:40] 或者 [C:2:0:1]滚动鼠标滚轮[C:7:0:0]。  按住 Shift 键可以调整的更快。
3,START_TUTORIAL_CAMERA_CONTROLS,2,,,"When your view is in the air above other tiles, you can see them below, but you can only interact with objects in your current elevation.",你虽然可以通过空气格子看到下层的格子，但你只能和在同一高度的物体进行交互。
3,START_TUTORIAL_CAMERA_CONTROLS,3,,,The view will be dark underground until you begin mining.  You can move the camera to the surface with the surface button (highlighted.)  The [KEY:296] hotkey will recenter on your wagon.,直到你开始挖掘，地下的格子都不会显示。  你可以通过点击地表按钮（已高亮）来快速切换到地表层。  键盘上的 [KEY:296] 按键将聚焦到你的马车。
3,START_TUTORIAL_CAMERA_CONTROLS,4,,,"You can zoom in and out of the play area using [KEY:7][KEY:8], [C:2:0:1]Ctrl+mouse wheel[C:7:0:0], or the indicated buttons.",你可以使用键盘上的 [KEY:7][KEY:8] 键、[C:2:0:1]Ctrl + 鼠标滚轮[C:7:0:0] 或标注的按钮来放大和缩小游戏区域的大小。
4,START_TUTORIAL_MINING,0,Mining,挖掘,"It's time to get to work!  Let's start by digging a stairwell into the ground.  There may be plenty of hillside to dig into, but you'll want to seek wealth below the surface.[B]Mining tasks are designated on the play area.  Begin by clicking the highlighted [C:5:0:1]Mining[C:7:0:0] button.",干活的时间到了！  让我们先挖一条通往地下的楼梯井。  虽然可能会有很多可供挖掘的山坡，但你最好在地表下尝试寻找有用的资源。[B]挖掘任务会在游戏区域中标出。  首先，请点击闪烁的[C:5:0:1]挖掘[C:7:0:0]按钮。
4,START_TUTORIAL_MINING,1,,,"There are several ways to mine.  Stairwells (selected) start at one elevation and are completed at the next.  [C:2:0:1]Click[C:7:0:0] the surface, [C:2:0:1]move the camera down one level[C:7:0:0], and [C:2:0:1]click[C:7:0:0] the underground.  Reversing the order also works.",菜单中显示的有几种挖掘方式。  楼梯井（已选中）需要从一个高度开始并在另一个高度结束。  [C:2:0:1]点击[C:7:0:0]地表，然后[C:2:0:1]切换到地下一层[C:7:0:0]，接着[C:2:0:1]点击[C:7:0:0]地下。  当然你也可以从地下开始操作。
4,START_TUTORIAL_MINING,2,,,Now we'll unpause the game and let the miner finish the task.  Press [KEY:294] to unpause or use the highlighted controls at the top of the screen.  You should pause regularly starting out.,现在让我们解除游戏暂停来让矿工完成这个挖掘任务。  按下键盘上的 [KEY:294] 键或屏幕右上角闪烁的按钮来解除暂停。  你刚开始的时候应该经常暂停游戏。
