table,text,translation
NUM,{PULE_NUMBER},{PULE_NUMBER}
NUM,{NUMBER},{NUMBER}
NUM,{PERSENT},{PERSENT}
NUM,{NOTE},{NOTE}
NUM,{MUTY},{MUTY}
NUM,{OCCUPIED},{OCCUPIED}
NUM:PULE_NUMBER,1,1
NUM:PULE_NUMBER,2,2
NUM:PULE_NUMBER,3,3
NUM:PULE_NUMBER,4,4
NUM:PULE_NUMBER,5,5
NUM:PULE_NUMBER,6,6
NUM:PULE_NUMBER,7,7
NUM:PULE_NUMBER,8,8
NUM:PULE_NUMBER,9,9
NUM:PULE_NUMBER,10,10
NUM:PULE_NUMBER,11,11
NUM:PULE_NUMBER,12,12
NUM:PULE_NUMBER,13,13
NUM:PULE_NUMBER,14,14
NUM:PULE_NUMBER,15,15
NUM:PULE_NUMBER,16,16
NUM:PULE_NUMBER,17,17
NUM:PULE_NUMBER,18,18
NUM:PULE_NUMBER,19,19
NUM:PULE_NUMBER,20,20
NUM:PULE_NUMBER,21,21
NUM:PULE_NUMBER,22,22
NUM:PULE_NUMBER,23,23
NUM:PULE_NUMBER,24,24
NUM:PULE_NUMBER,25,25
NUM:PULE_NUMBER,26,26
NUM:PULE_NUMBER,27,27
NUM:PULE_NUMBER,28,28
NUM:PULE_NUMBER,29,29
NUM:PULE_NUMBER,30,30
NUM:PULE_NUMBER,31,31
NUM:PULE_NUMBER,32,32
NUM:PULE_NUMBER,33,33
NUM:PULE_NUMBER,34,34
NUM:PULE_NUMBER,35,35
NUM:PULE_NUMBER,36,36
NUM:PULE_NUMBER,37,37
NUM:PULE_NUMBER,38,38
NUM:PULE_NUMBER,39,39
NUM:PULE_NUMBER,40,40
NUM:PULE_NUMBER,41,41
NUM:PULE_NUMBER,42,42
NUM:PULE_NUMBER,43,43
NUM:PULE_NUMBER,44,44
NUM:PULE_NUMBER,45,45
NUM:PULE_NUMBER,46,46
NUM:PULE_NUMBER,47,47
NUM:PULE_NUMBER,48,48
NUM:PULE_NUMBER,49,49
NUM:PULE_NUMBER,50,50
NUM:PULE_NUMBER,51,51
NUM:PULE_NUMBER,52,52
NUM:PULE_NUMBER,53,53
NUM:PULE_NUMBER,54,54
NUM:PULE_NUMBER,55,55
NUM:PULE_NUMBER,56,56
NUM:PULE_NUMBER,57,57
NUM:PULE_NUMBER,58,58
NUM:PULE_NUMBER,59,59
NUM:PULE_NUMBER,60,60
NUM:PULE_NUMBER,61,61
NUM:PULE_NUMBER,62,62
NUM:PULE_NUMBER,63,63
NUM:PULE_NUMBER,64,64
NUM:PULE_NUMBER,65,65
NUM:PULE_NUMBER,66,66
NUM:PULE_NUMBER,67,67
NUM:PULE_NUMBER,68,68
NUM:PULE_NUMBER,69,69
NUM:PULE_NUMBER,70,70
NUM:PULE_NUMBER,71,71
NUM:PULE_NUMBER,72,72
NUM:PULE_NUMBER,73,73
NUM:PULE_NUMBER,74,74
NUM:PULE_NUMBER,75,75
NUM:PULE_NUMBER,76,76
NUM:PULE_NUMBER,77,77
NUM:PULE_NUMBER,78,78
NUM:PULE_NUMBER,79,79
NUM:PULE_NUMBER,80,80
NUM:PULE_NUMBER,81,81
NUM:PULE_NUMBER,82,82
NUM:PULE_NUMBER,83,83
NUM:PULE_NUMBER,84,84
NUM:PULE_NUMBER,85,85
NUM:PULE_NUMBER,86,86
NUM:PULE_NUMBER,87,87
NUM:PULE_NUMBER,88,88
NUM:PULE_NUMBER,89,89
NUM:PULE_NUMBER,90,90
NUM:PULE_NUMBER,91,91
NUM:PULE_NUMBER,92,92
NUM:PULE_NUMBER,93,93
NUM:PULE_NUMBER,94,94
NUM:PULE_NUMBER,95,95
NUM:PULE_NUMBER,96,96
NUM:PULE_NUMBER,97,97
NUM:PULE_NUMBER,98,98
NUM:PULE_NUMBER,99,99
NUM:PULE_NUMBER,100,100
NUM:NUMBER,(1),(1)
NUM:NUMBER,(2),(2)
NUM:NUMBER,(3),(3)
NUM:NUMBER,(4),(4)
NUM:NUMBER,(5),(5)
NUM:NUMBER,(6),(6)
NUM:NUMBER,(7),(7)
NUM:NUMBER,(8),(8)
NUM:NUMBER,(9),(9)
NUM:NUMBER,(10),(10)
