table,text,translation
INFO_TAG:FLOOR:^0,Warm,따뜻한
INFO_TAG:FLOOR:^0,,
INFO_TAG:FLOOR:^1,Damp,축축한
INFO_TAG:FLOOR:^1,,
INFO_TAG:FLOOR:^2,Muddy,진흙투성이
INFO_TAG:FLOOR:^2,,
INFO_TAG:FLOOR:^3,Snow-covered,눈덮인
INFO_TAG:FLOOR:^3,,
INFO_TAG:FLOOR:^4,Mossy,이끼낀
INFO_TAG:FLOOR:^4,,
INFO_TAG:FLOOR,Murky Pool,탁한웅덩이
INFO_TAG:FLOOR,Murky Pool Slope,탁한웅덩이경사면
INFO_TAG:FLOOR,Underworld Gate,명계의문
INFO_TAG:FLOOR,Driftwood,표류목
INFO_TAG:FLOOR,Open Space,열린공간
INFO_TAG:FLOOR,Chasm,균열
INFO_TAG:FLOOR,Eerie Glowing Pit,으스스하게빛나는구덩이
INFO_TAG:FLOOR,Ashes,재
INFO_TAG:FLOOR,Waterfall,폭포
INFO_TAG:FLOOR,River Source,강의발원지
INFO_TAG:FLOOR,Ice,얼음
INFO_TAG:FLOOR,Semi-molten Rock,반쯤녹은바위
INFO_TAG:FLOOR,Lava Flow,용암흐름
INFO_TAG:FLOOR,Magma Flow,마그마흐름
INFO_TAG:FLOOR,Glowing Barrier,빛나는장벽
INFO_TAG:FLOOR,Glowing Floor,빛나는바닥
INFO_TAG:FLOOR,River,강
INFO_TAG:FLOOR,Brook,개울
INFO_TAG:FLOOR,Furrowed {:MATERIAL},고랑이난{:MATERIAL}
INFO_TAG:FLOOR,{:MATERIAL} Boulder,{:MATERIAL}거석
INFO_TAG:FLOOR,{:MATERIAL} Pebbles,{:MATERIAL}자갈바닥
INFO_TAG:FLOOR,{PLANT},{PLANT}
INFO_TAG:FLOOR,{FLOOR},{FLOOR}
INFO_TAG:FLOOR,{STAIRWAY},{STAIRWAY}
INFO_TAG:FLOOR,{SLOPE},{SLOPE}
INFO_TAG:FLOOR,{WALL},{WALL}
INFO_TAG:FLOOR,{PILLAR_FORTIFICATION},{PILLAR_FORTIFICATION}
INFO_TAG:FLOOR,{TRACK},{TRACK}
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD} Tree,{:INFO_TAG:PREFIX:MAY_DEAD}나무
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD} Shrub,{:INFO_TAG:PREFIX:MAY_DEAD}관목
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD} Sapling,{:INFO_TAG:PREFIX:MAY_DEAD}묘목
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD} {:PLANT_TILE_NAME},{:INFO_TAG:PREFIX:MAY_DEAD}{:PLANT_TILE_NAME}
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD} Young {:PLANT_TILE_NAME},{:INFO_TAG:PREFIX:MAY_DEAD}어린{:PLANT_TILE_NAME}
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD} {:PLANT_TILE_NAME} Sapling,{:INFO_TAG:PREFIX:MAY_DEAD}{:PLANT_TILE_NAME}묘목
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_DEAD_DRY} Grass,{:INFO_TAG:PREFIX:MAY_DEAD_DRY}풀
INFO_TAG:FLOOR:PLANT,{:INFO_TAG:PREFIX:MAY_SPARSE_DENSE} {:INFO_TAG:PREFIX:MAY_DEAD_DRY} {:PLANT_TILE_NAME},{:INFO_TAG:PREFIX:MAY_SPARSE_DENSE}{:INFO_TAG:PREFIX:MAY_DEAD_DRY}{:PLANT_TILE_NAME}
INFO_TAG:FLOOR:PLANT,{:PLANT:GROWTH:NAME:PLURAL},{:PLANT:GROWTH:NAME:PLURAL}
INFO_TAG:FLOOR:FLOOR,{:INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED} {:MATERIAL},{:INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED}{:MATERIAL}
INFO_TAG:FLOOR:FLOOR,{:INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED} {:MATERIAL} Floor,{:INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED}{:MATERIAL}바닥
INFO_TAG:FLOOR:FLOOR,Sculpted Ice Floor,조각장식된얼음바닥
INFO_TAG:FLOOR:FLOOR,Level Ice Floor,평평한 얼음 바닥
INFO_TAG:FLOOR:FLOOR,{:MATERIAL} Cavern Floor,{:MATERIAL} 동굴 바닥
INFO_TAG:FLOOR:FLOOR,Wet {:MATERIAL} Cavern Floor,젖은 {:MATERIAL} 동굴 바닥
INFO_TAG:FLOOR:FLOOR,Wet {:MATERIAL},젖은 {:MATERIAL}
INFO_TAG:FLOOR:FLOOR,{:CONSTRUCTED_TILE_NAME} Floor,{:CONSTRUCTED_TILE_NAME} 바닥
INFO_TAG:FLOOR:STAIRWAY:$0,{:INFO_TAG:PREFIX:UPDOWNBOTH} Stairway,{:INFO_TAG:PREFIX:UPDOWNBOTH} 계단
INFO_TAG:FLOOR:STAIRWAY,Grassy,잔디
INFO_TAG:FLOOR:STAIRWAY,{:INFO_TAG:PREFIX:MAY_SPARSE_DENSE} {:PLANT:NAME:ADJECTIVE},{:INFO_TAG:PREFIX:MAY_SPARSE_DENSE}{:PLANT:NAME:ADJECTIVE}
INFO_TAG:FLOOR:STAIRWAY,{:CONSTRUCTED_TILE_NAME},{:CONSTRUCTED_TILE_NAME}
INFO_TAG:FLOOR:SLOPE:^0,{:INFO_TAG:PREFIX:MAY_UNUSABLE},{:INFO_TAG:PREFIX:MAY_UNUSABLE}
INFO_TAG:FLOOR:SLOPE:$0,{:INFO_TAG:PREFIX:UPDOWN} Slope,{:INFO_TAG:PREFIX:UPDOWN} 경사
INFO_TAG:FLOOR:SLOPE,Glacial,빙하
INFO_TAG:FLOOR:SLOPE,Grassy,잔디
INFO_TAG:FLOOR:SLOPE,{:INFO_TAG:PREFIX:MAY_DEAD_DRY} Grass,{:INFO_TAG:PREFIX:MAY_DEAD_DRY} 잔디
INFO_TAG:FLOOR:SLOPE,{:INFO_TAG:PREFIX:MAY_SPARSE_DENSE} {:INFO_TAG:PREFIX:MAY_DEAD_DRY} {:PLANT:NAME:ADJECTIVE},{:INFO_TAG:PREFIX:MAY_SPARSE_DENSE}{:INFO_TAG:PREFIX:MAY_DEAD_DRY}{:PLANT:NAME:ADJECTIVE}
INFO_TAG:FLOOR:SLOPE,{:CONSTRUCTED_TILE_NAME},{:CONSTRUCTED_TILE_NAME}
INFO_TAG:FLOOR:SLOPE,,
INFO_TAG:FLOOR:WALL:^0,Smooth,매끄러운
INFO_TAG:FLOOR:WALL:^0,Rough-hewn,거칠게 자른
INFO_TAG:FLOOR:WALL:^0,Straight,반듯한
INFO_TAG:FLOOR:WALL:^0,{:INFO_TAG:PREFIX:MAY_ENGRAVE},{:INFO_TAG:PREFIX:MAY_ENGRAVE}
INFO_TAG:FLOOR:WALL:^0,,
INFO_TAG:FLOOR:WALL:$0,Wall,벽
INFO_TAG:FLOOR:WALL:$0,Cluster,무리
INFO_TAG:FLOOR:WALL,{:CONSTRUCTED_TILE_NAME},{:CONSTRUCTED_TILE_NAME}
INFO_TAG:FLOOR:PILLAR_FORTIFICATION:^0,Exposed,노출된
INFO_TAG:FLOOR:PILLAR_FORTIFICATION:^0,{:INFO_TAG:PREFIX:MAY_ENGRAVE},{:INFO_TAG:PREFIX:MAY_ENGRAVE}
INFO_TAG:FLOOR:PILLAR_FORTIFICATION:^0,,
INFO_TAG:FLOOR:PILLAR_FORTIFICATION:$0,Fortification,방벽
INFO_TAG:FLOOR:PILLAR_FORTIFICATION:$0,Pillar,기둥
INFO_TAG:FLOOR:PILLAR_FORTIFICATION,{:CONSTRUCTED_TILE_NAME},{:CONSTRUCTED_TILE_NAME}
INFO_TAG:FLOOR:TRACK:$0,(N),(N)
INFO_TAG:FLOOR:TRACK:$0,(S),(S)
INFO_TAG:FLOOR:TRACK:$0,(E),(E)
INFO_TAG:FLOOR:TRACK:$0,(W),(W)
INFO_TAG:FLOOR:TRACK:$0,(NS),(NS)
INFO_TAG:FLOOR:TRACK:$0,(NE),(NE)
INFO_TAG:FLOOR:TRACK:$0,(NW),(NW)
INFO_TAG:FLOOR:TRACK:$0,(SE),(SE)
INFO_TAG:FLOOR:TRACK:$0,(SW),(SW)
INFO_TAG:FLOOR:TRACK:$0,(EW),(EW)
INFO_TAG:FLOOR:TRACK:$0,(NSE),(NSE)
INFO_TAG:FLOOR:TRACK:$0,(NSW),(NSW)
INFO_TAG:FLOOR:TRACK:$0,(NEW),(NEW)
INFO_TAG:FLOOR:TRACK:$0,(SEW),(SEW)
INFO_TAG:FLOOR:TRACK:$0,(NSEW),(NSEW)
INFO_TAG:FLOOR:TRACK,{:CONSTRUCTED_TILE_NAME} Track,{:CONSTRUCTED_TILE_NAME} 궤도
INFO_TAG:FLOOR:TRACK,{:INFO_TAG:PREFIX:MAY_UNUSABLE} {:CONSTRUCTED_TILE_NAME} {:INFO_TAG:PREFIX:UPDOWN} Track,{:INFO_TAG:PREFIX:MAY_UNUSABLE} {:CONSTRUCTED_TILE_NAME} {:INFO_TAG:PREFIX:UPDOWN} 궤도
INFO_TAG:PREFIX:MAY_DEAD,Dead,죽은
INFO_TAG:PREFIX:MAY_DEAD,,
INFO_TAG:PREFIX:MAY_DEAD_DRY,Dry,마른
INFO_TAG:PREFIX:MAY_DEAD_DRY,{:INFO_TAG:PREFIX:MAY_DEAD},{:INFO_TAG:PREFIX:MAY_DEAD}
INFO_TAG:PREFIX:MAY_SPARSE_DENSE,Sparse,성긴
INFO_TAG:PREFIX:MAY_SPARSE_DENSE,Dense,무성한
INFO_TAG:PREFIX:MAY_SPARSE_DENSE,,
INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED,Smooth,매끈한
INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED,{:INFO_TAG:PREFIX:DETAILED},{:INFO_TAG:PREFIX:DETAILED}
INFO_TAG:PREFIX:MAY_SMOOTH_DETAILED,,
INFO_TAG:PREFIX:MAY_ENGRAVE,{:INFO_TAG:PREFIX:DETAILED},{:INFO_TAG:PREFIX:DETAILED}
INFO_TAG:PREFIX:MAY_ENGRAVE,{:INFO_TAG:PREFIX:SCULPTED},{:INFO_TAG:PREFIX:SCULPTED}
INFO_TAG:PREFIX:MAY_ENGRAVE,,
INFO_TAG:PREFIX:DETAILED,Detailed,조각장식된
INFO_TAG:PREFIX:DETAILED,-Detailed-,-조각장식-된
INFO_TAG:PREFIX:DETAILED,+Detailed+,+조각장식+된
INFO_TAG:PREFIX:DETAILED,*Detailed*,*조각장식*된
INFO_TAG:PREFIX:DETAILED,≡Detailed≡,≡조각장식≡된
INFO_TAG:PREFIX:DETAILED,☼Detailed☼,☼조각장식☼된
INFO_TAG:PREFIX:SCULPTED,Sculpted,부조장식된
INFO_TAG:PREFIX:SCULPTED,-Sculpted-,-부조장식-된
INFO_TAG:PREFIX:SCULPTED,+Sculpted+,+부조장식+된
INFO_TAG:PREFIX:SCULPTED,*Sculpted*,*부조장식*된
INFO_TAG:PREFIX:SCULPTED,≡Sculpted≡,≡부조장식≡된
INFO_TAG:PREFIX:SCULPTED,☼Sculpted☼,☼부조장식☼된
INFO_TAG:PREFIX:MAY_UNUSABLE,Unusable,사용불가
INFO_TAG:PREFIX:MAY_UNUSABLE,,
INFO_TAG:PREFIX:UPDOWNBOTH,Up/Down,상/하향
INFO_TAG:PREFIX:UPDOWNBOTH,{:INFO_TAG:PREFIX:UPDOWN},{:INFO_TAG:PREFIX:UPDOWN}
INFO_TAG:PREFIX:UPDOWN,Upward,상향
INFO_TAG:PREFIX:UPDOWN,Downward,하향
INFO_TAG,{NUM},{NUM}
INFO_TAG:NUM,(1),(1)
INFO_TAG:NUM,(2),(2)
INFO_TAG:NUM,(3),(3)
INFO_TAG:NUM,(4),(4)
INFO_TAG:NUM,(5),(5)
INFO_TAG:NUM,(6),(6)
INFO_TAG:NUM,(7),(7)
INFO_TAG:NUM,(8),(8)
INFO_TAG:NUM,(9),(9)
INFO_TAG:NUM,(10),(10)
INFO_TAG:NUM,(11),(11)
INFO_TAG:NUM,(12),(12)
INFO_TAG:NUM,(13),(13)
INFO_TAG:NUM,(14),(14)
INFO_TAG:NUM,(15),(15)
INFO_TAG:NUM,(16),(16)
INFO_TAG:NUM,(17),(17)
INFO_TAG:NUM,(18),(18)
INFO_TAG:NUM,(19),(19)
INFO_TAG:NUM,(20),(20)
INFO_TAG:NUM,(21),(21)
INFO_TAG:NUM,(22),(22)
INFO_TAG:NUM,(23),(23)
INFO_TAG:NUM,(24),(24)
INFO_TAG:NUM,(25),(25)
INFO_TAG:NUM,(26),(26)
INFO_TAG:NUM,(27),(27)
INFO_TAG:NUM,(28),(28)
INFO_TAG:NUM,(29),(29)
INFO_TAG:NUM,(30),(30)
INFO_TAG:NUM,(31),(31)
INFO_TAG:NUM,(32),(32)
INFO_TAG:NUM,(33),(33)
INFO_TAG:NUM,(34),(34)
INFO_TAG:NUM,(35),(35)
INFO_TAG:NUM,(36),(36)
INFO_TAG:NUM,(37),(37)
INFO_TAG:NUM,(38),(38)
INFO_TAG:NUM,(39),(39)
INFO_TAG:NUM,(40),(40)
INFO_TAG:NUM,(41),(41)
INFO_TAG:NUM,(42),(42)
INFO_TAG:NUM,(43),(43)
INFO_TAG:NUM,(44),(44)
INFO_TAG:NUM,(45),(45)
INFO_TAG:NUM,(46),(46)
INFO_TAG:NUM,(47),(47)
INFO_TAG:NUM,(48),(48)
INFO_TAG:NUM,(49),(49)
INFO_TAG:NUM,(50),(50)
INFO_TAG:NUM,(51),(51)
INFO_TAG:NUM,(52),(52)
INFO_TAG:NUM,(53),(53)
INFO_TAG:NUM,(54),(54)
INFO_TAG:NUM,(55),(55)
INFO_TAG:NUM,(56),(56)
INFO_TAG:NUM,(57),(57)
INFO_TAG:NUM,(58),(58)
INFO_TAG:NUM,(59),(59)
INFO_TAG:NUM,(60),(60)
INFO_TAG:NUM,(61),(61)
INFO_TAG:NUM,(62),(62)
INFO_TAG:NUM,(63),(63)
INFO_TAG:NUM,(64),(64)
INFO_TAG:NUM,(65),(65)
INFO_TAG:NUM,(66),(66)
INFO_TAG:NUM,(67),(67)
INFO_TAG:NUM,(68),(68)
INFO_TAG:NUM,(69),(69)
INFO_TAG:NUM,(70),(70)
INFO_TAG:NUM,(71),(71)
INFO_TAG:NUM,(72),(72)
INFO_TAG:NUM,(73),(73)
INFO_TAG:NUM,(74),(74)
INFO_TAG:NUM,(75),(75)
INFO_TAG:NUM,(76),(76)
INFO_TAG:NUM,(77),(77)
INFO_TAG:NUM,(78),(78)
INFO_TAG:NUM,(79),(79)
INFO_TAG:NUM,(80),(80)
INFO_TAG:NUM,(81),(81)
INFO_TAG:NUM,(82),(82)
INFO_TAG:NUM,(83),(83)
INFO_TAG:NUM,(84),(84)
INFO_TAG:NUM,(85),(85)
INFO_TAG:NUM,(86),(86)
INFO_TAG:NUM,(87),(87)
INFO_TAG:NUM,(88),(88)
INFO_TAG:NUM,(89),(89)
INFO_TAG:NUM,(90),(90)
INFO_TAG:NUM,(91),(91)
INFO_TAG:NUM,(92),(92)
INFO_TAG:NUM,(93),(93)
INFO_TAG:NUM,(94),(94)
INFO_TAG:NUM,(95),(95)
INFO_TAG:NUM,(96),(96)
INFO_TAG:NUM,(97),(97)
INFO_TAG:NUM,(98),(98)
INFO_TAG:NUM,(99),(99)
INFO_TAG:NUM,(100),(100)
