table,text,translation
HELM,{SINGULAR},{SINGULAR}
HELM,{PLURAL},{PLURAL}
HELM:SINGULAR:^0,{:HELM:PREFIX},{:HELM:PREFIX}
HELM:SINGULAR:^0,,
HELM:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
HELM:SINGULAR:^1,,
HELM:SINGULAR:^2,chain,锁链
HELM:SINGULAR:^2,,
HELM:SINGULAR,{:HELM:NOUN:SINGULAR},{:HELM:NOUN:SINGULAR}
HELM:PLURAL:^0,{:HELM:PREFIX},{:HELM:PREFIX}
HELM:PLURAL:^0,,
HELM:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
HELM:PLURAL:^1,,
HELM:PLURAL:^2,chain,锁链
HELM:PLURAL:^2,,
HELM:PLURAL,{:HELM:NOUN:PLURAL},{:HELM:NOUN:PLURAL}
HELM:PREFIX,,
HELM:NOUN:SINGULAR,helm,头盔
HELM:NOUN:SINGULAR,cap,帽子
HELM:NOUN:SINGULAR,hood,兜帽
HELM:NOUN:SINGULAR,turban,头巾
HELM:NOUN:SINGULAR,mask,面罩
HELM:NOUN:SINGULAR,head veil,头纱
HELM:NOUN:SINGULAR,face veil,面纱
HELM:NOUN:SINGULAR,headscarf,丝巾
HELM:NOUN:PLURAL,helms,头盔
HELM:NOUN:PLURAL,caps,帽子
HELM:NOUN:PLURAL,hoods,兜帽
HELM:NOUN:PLURAL,turbans,头巾
HELM:NOUN:PLURAL,masks,面罩
HELM:NOUN:PLURAL,head veils,头纱
HELM:NOUN:PLURAL,face veils,面纱
HELM:NOUN:PLURAL,headscarves,丝巾
