filename,key,noun_all_solid,noun_all_solid_translation,noun_solid,noun_solid_translation,noun_powder,noun_powder_translation,noun_liquid,noun_liquid_translation,noun_gas,noun_gas_translation,adjective_all_solid,adjective_all_solid_translation,adjective_solid,adjective_solid_translation,adjective_powder,adjective_powder_translation,adjective_liquid,adjective_liquid_translation,adjective_gas,adjective_gas_translation
material_template_default,MATERIAL_TEMPLATE:STONE_TEMPLATE,stone,石头,,,,,magma,岩浆,boiling magma,沸腾岩浆,stone,石制,,,,,magma,熔岩,boiling magma,沸腾的岩浆
material_template_default,MATERIAL_TEMPLATE:METAL_TEMPLATE,metal,金属,,,,,molten metal,融化金属,boiling metal,沸腾金属,metal,金属制,,,,,molten metal,熔融金属,boiling metal,沸腾的金属
material_template_default,MATERIAL_TEMPLATE:WOOD_TEMPLATE,wood,木头,,,,,,,,,wooden,木制,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SKIN_TEMPLATE,skin,皮毛,,,,,,,,,skin,消瘦,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:FAT_TEMPLATE,fat,脂肪,,,,,grease,油脂,,,fatty,肥胖,,,,,greasy,油性的,,
material_template_default,MATERIAL_TEMPLATE:MUSCLE_TEMPLATE,muscle,肌肉,,,,,,,,,muscle,强壮,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SINEW_TEMPLATE,sinew,筋腱,,,,,,,,,sinew,,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:BONE_TEMPLATE,,,bone,骨头,bone meal,骨粉,,,,,,,bone,骨,bone meal,骨粉,,,,
material_template_default,MATERIAL_TEMPLATE:CARTILAGE_TEMPLATE,cartilage,软骨,,,,,,,,,cartilaginous,软骨,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:HAIR_TEMPLATE,hair,毛发,,,,,,,,,hair,毛发,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:FEATHER_TEMPLATE,feather,羽毛,,,,,,,,,feather,羽毛,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:SCALE_TEMPLATE,scale,甲壳,,,,,,,,,scale,甲壳,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:NAIL_TEMPLATE,nail,指甲,,,,,,,,,nail,指甲,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:TOOTH_TEMPLATE,tooth,牙齿,,,,,,,,,tooth,牙齿,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:EYE_TEMPLATE,eye tissue,眼组织,,,,,,,,,eye tissue,眼组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:NERVE_TEMPLATE,nervous tissue,神经组织,,,,,,,,,nervous tissue,神经组织,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:BRAIN_TEMPLATE,brain,脑髓,,,,,,,,,brain,脑髓,,,,,,,,
material_template_default,MATERIAL_TEMPLATE:LUNG_TEMPLATE,lung tissue,肺组织,,,,,,,,,lung tissue,肺组织,,,,,,,,
