table,text,translation
POSITION:^0,Former,전
POSITION:^0,,
POSITION,{SINGULAR},{SINGULAR}
POSITION,{PLURAL},{PLURAL}
POSITION:SINGULAR,{:POSITION:MOUNTAIN:SINGULAR},{:POSITION:MOUNTAIN:SINGULAR}
POSITION:SINGULAR,{:POSITION:FOREST:SINGULAR},{:POSITION:FOREST:SINGULAR}
POSITION:PLURAL,{:POSITION:MOUNTAIN:PLURAL},{:POSITION:MOUNTAIN:PLURAL}
POSITION:PLURAL,{:POSITION:FOREST:PLURAL},{:POSITION:FOREST:PLURAL}
POSITION:MOUNTAIN:SINGULAR,monarch,군주
POSITION:MOUNTAIN:SINGULAR,general,장군
POSITION:MOUNTAIN:SINGULAR,lieutenant,중위
POSITION:MOUNTAIN:SINGULAR,captain,대장
POSITION:MOUNTAIN:SINGULAR,militia commander,민병대 지휘관
POSITION:MOUNTAIN:SINGULAR,militia captain,민병대 대장
POSITION:MOUNTAIN:SINGULAR,sheriff,보안관
POSITION:MOUNTAIN:SINGULAR,captain of the guard,경비대장
POSITION:MOUNTAIN:SINGULAR,expedition leader,원정대장
POSITION:MOUNTAIN:SINGULAR,mayor,시장
POSITION:MOUNTAIN:SINGULAR,manager,관리인
POSITION:MOUNTAIN:SINGULAR,chief medical dwarf,수석 드워프 의사
POSITION:MOUNTAIN:SINGULAR,broker,중개인
POSITION:MOUNTAIN:SINGULAR,bookkeeper,회계원
POSITION:MOUNTAIN:SINGULAR,outpost liaison,전초기지 연락관
POSITION:MOUNTAIN:SINGULAR,diplomat,외교관
POSITION:MOUNTAIN:SINGULAR,duke,공작
POSITION:MOUNTAIN:SINGULAR,count,백작
POSITION:MOUNTAIN:SINGULAR,baron,남작
POSITION:MOUNTAIN:SINGULAR,champion,챔피언
POSITION:MOUNTAIN:SINGULAR,hammerer,망치집행관
POSITION:MOUNTAIN:SINGULAR,dungeon master,지하감옥 감독관
POSITION:MOUNTAIN:SINGULAR,administrator,관리자
POSITION:MOUNTAIN:SINGULAR,messenger,전령
POSITION:MOUNTAIN:SINGULAR,militia-dwarf,민병대 드워프
POSITION:FOREST:SINGULAR,druid,드루이드
POSITION:FOREST:SINGULAR,acolyte,시종승
POSITION:FOREST:SINGULAR,princess,공주
POSITION:FOREST:SINGULAR,queen,여왕
POSITION:FOREST:SINGULAR,diplomat,외교관
POSITION:FOREST:SINGULAR,ranger captain,레인저 대장
POSITION:MOUNTAIN:PLURAL,monarchs,군주들
POSITION:MOUNTAIN:PLURAL,generals,장군들
POSITION:MOUNTAIN:PLURAL,lieutenants,중위들
POSITION:MOUNTAIN:PLURAL,captains,대장들
POSITION:MOUNTAIN:PLURAL,militia commanders,민병대 지휘관들
POSITION:MOUNTAIN:PLURAL,militia captains,민병대 대장들
POSITION:MOUNTAIN:PLURAL,sheriffs,보안관들
POSITION:MOUNTAIN:PLURAL,captains of the guard,경비대장들
POSITION:MOUNTAIN:PLURAL,expedition leaders,원정대장들
POSITION:MOUNTAIN:PLURAL,mayors,시장들
POSITION:MOUNTAIN:PLURAL,managers,관리인들
POSITION:MOUNTAIN:PLURAL,chief medical dwarves,수석 드워프 의사
POSITION:MOUNTAIN:PLURAL,brokers,중개인
POSITION:MOUNTAIN:PLURAL,bookkeepers,장부지기
POSITION:MOUNTAIN:PLURAL,outpost liaisons,전초기지 연락관
POSITION:MOUNTAIN:PLURAL,diplomats,외교관
POSITION:MOUNTAIN:PLURAL,dukes,공작
POSITION:MOUNTAIN:PLURAL,counts,백작
POSITION:MOUNTAIN:PLURAL,barons,남작
POSITION:MOUNTAIN:PLURAL,champions,챔피언
POSITION:MOUNTAIN:PLURAL,hammerers,망치 집행관
POSITION:MOUNTAIN:PLURAL,dungeon masters,지하감옥 감독관
POSITION:MOUNTAIN:PLURAL,administrators,관리자
POSITION:MOUNTAIN:PLURAL,messengers,전령
POSITION:FOREST:PLURAL,druids,드루이드
POSITION:FOREST:PLURAL,acolytes,수행사제
POSITION:FOREST:PLURAL,princesses,공주
POSITION:FOREST:PLURAL,queens,여왕
POSITION:FOREST:PLURAL,diplomats,외교관
POSITION:FOREST:PLURAL,ranger captains,레인저 대장
