viewscreen,context,alignment,text,text_translation
initial_prep,loading,LEFT,Loading...,正在载入...
title,mainmenu,CENTER,Continue active game,继续游戏
title,mainmenu,CENTER,Start new game in existing world,在现有的世界中开始新游戏
title,mainmenu,CENTER,Create new world,创建新的世界
title,mainmenu,CENTER,Object testing arena,目标测试竞技场
title,mainmenu,CENTER,Mods,模组
title,mainmenu,CENTER,Settings,设置
title,mainmenu,CENTER,About DF,关于DF
title,mainmenu,CENTER,Quit,退出
dwarfmode,gamemenu,CENTER,Dwarf Fortress,矮人要塞
dwarfmode,gamemenu,CENTER,Save and return to title menu,保存并返回主菜单 
dwarfmode,gamemenu,CENTER,Save and continue playing,保存并继续游戏 
dwarfmode,gamemenu,CENTER,Retire the fortress (for the time being),撤出要塞（暂时）
dwarfmode,gamemenu,CENTER,Abandon the fortress to ruin,放弃要塞成为废墟
dwarfmode,gamemenu,CENTER,Quit without saving,不保存退出 
dwarfmode,gamemenu,CENTER,Settings,设置
dwarfmode,gamemenu,CENTER,Return to game,返回游戏
