table,text,translation
WEAPON,{SINGULAR},{SINGULAR}
WEAPON,{PLURAL},{PLURAL}
WEAPON:SINGULAR:^0,{:WEAPON:PREFIX},{:WEAPON:PREFIX}
WEAPON:SINGULAR:^0,,
WEAPON:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
WEAPON:SINGULAR:^1,,
WEAPON:SINGULAR,{:WEAPON:NOUN:SINGULAR},{:WEAPON:NOUN:SINGULAR}
WEAPON:PLURAL:^0,{:WEAPON:PREFIX},{:WEAPON:PREFIX}
WEAPON:PLURAL:^0,,
WEAPON:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
WEAPON:PLURAL:^1,,
WEAPON:PLURAL,{:WEAPON:NOUN:PLURAL},{:WEAPON:NOUN:PLURAL}
WEAPON:PREFIX,large,大
WEAPON:NOUN:SINGULAR,whip,长鞭
WEAPON:NOUN:SINGULAR,battle axe,战斧
WEAPON:NOUN:SINGULAR,war hammer,战锤
WEAPON:NOUN:SINGULAR,short sword,短剑
WEAPON:NOUN:SINGULAR,spear,矛
WEAPON:NOUN:SINGULAR,mace,页锤
WEAPON:NOUN:SINGULAR,crossbow,十字弩
WEAPON:NOUN:SINGULAR,pick,鹤嘴锄
WEAPON:NOUN:SINGULAR,bow,弓
WEAPON:NOUN:SINGULAR,blowgun,吹管
WEAPON:NOUN:SINGULAR,pike,长枪
WEAPON:NOUN:SINGULAR,halberd,斧枪
WEAPON:NOUN:SINGULAR,two-handed sword,双手剑
WEAPON:NOUN:SINGULAR,long sword,长剑
WEAPON:NOUN:SINGULAR,maul,大锤
WEAPON:NOUN:SINGULAR,great axe,巨斧
WEAPON:NOUN:SINGULAR,dagger,刺剑
WEAPON:NOUN:SINGULAR,scourge,散鞭
WEAPON:NOUN:SINGULAR,flail,连枷
WEAPON:NOUN:SINGULAR,morningstar,钉头锤
WEAPON:NOUN:SINGULAR,scimitar,短弯刀
WEAPON:NOUN:SINGULAR,training axe,训练斧
WEAPON:NOUN:SINGULAR,training sword,训练剑
WEAPON:NOUN:SINGULAR,training spear,训练矛
WEAPON:NOUN:PLURAL,whips,长鞭
WEAPON:NOUN:PLURAL,battle axes,战斧
WEAPON:NOUN:PLURAL,war hammers,战锤
WEAPON:NOUN:PLURAL,short swords,短剑
WEAPON:NOUN:PLURAL,spears,矛
WEAPON:NOUN:PLURAL,maces,页锤
WEAPON:NOUN:PLURAL,crossbows,十字弩
WEAPON:NOUN:PLURAL,picks,鹤嘴锄
WEAPON:NOUN:PLURAL,bows,弓
WEAPON:NOUN:PLURAL,blowguns,吹管
WEAPON:NOUN:PLURAL,pikes,长枪
WEAPON:NOUN:PLURAL,halberds,斧枪
WEAPON:NOUN:PLURAL,two-handed swords,双手剑
WEAPON:NOUN:PLURAL,long swords,长剑
WEAPON:NOUN:PLURAL,mauls,大锤
WEAPON:NOUN:PLURAL,great axes,巨斧
WEAPON:NOUN:PLURAL,daggers,刺剑
WEAPON:NOUN:PLURAL,scourges,散鞭
WEAPON:NOUN:PLURAL,flails,连枷
WEAPON:NOUN:PLURAL,morningstars,钉头锤
WEAPON:NOUN:PLURAL,scimitars,短弯刀
WEAPON:NOUN:PLURAL,training axes,训练斧
WEAPON:NOUN:PLURAL,training swords,训练剑
WEAPON:NOUN:PLURAL,training spears,训练矛
