table,text,translation
GLOVES,{SINGULAR},{SINGULAR}
GLOVES,{PLURAL},{PLURAL}
GLOVES:SINGULAR:^0,{:GLOVES:PREFIX},{:GLOVES:PREFIX}
GLOVES:SINGULAR:^0,,
GLOVES:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
GLOVES:SINGULAR:^1,,
GLOVES:SINGULAR:^2,left,左
GLOVES:SINGULAR:^2,right,右
GLOVES:SINGULAR:^2,,
GLOVES:SINGULAR:^3,chain,锁链
GLOVES:SINGULAR:^3,,
GLOVES:SINGULAR,{:GLOVES:NOUN:SINGULAR},{:GLOVES:NOUN:SINGULAR}
GLOVES:PLURAL:^0,{:GLOVES:PREFIX},{:GLOVES:PREFIX}
GLOVES:PLURAL:^0,,
GLOVES:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
GLOVES:PLURAL:^1,,
GLOVES:PLURAL:^2,left,左
GLOVES:PLURAL:^2,right,右
GLOVES:PLURAL:^2,,
GLOVES:PLURAL:^3,chain,锁链
GLOVES:PLURAL:^3,,
GLOVES:PLURAL,{:GLOVES:NOUN:PLURAL},{:GLOVES:NOUN:PLURAL}
GLOVES:PREFIX,,
GLOVES:NOUN:SINGULAR,gauntlet,护手
GLOVES:NOUN:SINGULAR,glove,手套
GLOVES:NOUN:SINGULAR,mitten,连指手套
GLOVES:NOUN:PLURAL,gauntlets,护手
GLOVES:NOUN:PLURAL,gloves,手套
GLOVES:NOUN:PLURAL,mittens,连指手套
