table,text,translation
WEAPON,{SINGULAR},{SINGULAR}
WEAPON,{PLURAL},{PLURAL}
WEAPON:SINGULAR:^0,{:WEAPON:PREFIX},{:WEAPON:PREFIX}
WEAPON:SINGULAR:^0,,
WEAPON:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
WEAPON:SINGULAR:^1,,
WEAPON:SINGULAR,{:WEAPON:NOUN:SINGULAR},{:WEAPON:NOUN:SINGULAR}
WEAPON:PLURAL:^0,{:WEAPON:PREFIX},{:WEAPON:PREFIX}
WEAPON:PLURAL:^0,,
WEAPON:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
WEAPON:PLURAL:^1,,
WEAPON:PLURAL,{:WEAPON:NOUN:PLURAL},{:WEAPON:NOUN:PLURAL}
WEAPON:PREFIX,large,대형
WEAPON:NOUN:SINGULAR,whip,채찍
WEAPON:NOUN:SINGULAR,battle axe,전투 도끼
WEAPON:NOUN:SINGULAR,war hammer,전쟁 망치
WEAPON:NOUN:SINGULAR,short sword,숏소드
WEAPON:NOUN:SINGULAR,spear,창
WEAPON:NOUN:SINGULAR,mace,메이스
WEAPON:NOUN:SINGULAR,crossbow,석궁
WEAPON:NOUN:SINGULAR,pick,전투 곡괭이
WEAPON:NOUN:SINGULAR,bow,활
WEAPON:NOUN:SINGULAR,blowgun,블로우건
WEAPON:NOUN:SINGULAR,pike,파이크
WEAPON:NOUN:SINGULAR,halberd,할버드
WEAPON:NOUN:SINGULAR,two-handed sword,양손검
WEAPON:NOUN:SINGULAR,long sword,롱소드
WEAPON:NOUN:SINGULAR,maul,대형 망치
WEAPON:NOUN:SINGULAR,great axe,그레이트액스
WEAPON:NOUN:SINGULAR,dagger,단검
WEAPON:NOUN:SINGULAR,scourge,다중 채찍
WEAPON:NOUN:SINGULAR,flail,플레일
WEAPON:NOUN:SINGULAR,morningstar,모닝스타
WEAPON:NOUN:SINGULAR,scimitar,시미터
WEAPON:NOUN:SINGULAR,training axe,훈련용 도끼
WEAPON:NOUN:SINGULAR,training sword,훈련용 검
WEAPON:NOUN:SINGULAR,training spear,훈련용 창
WEAPON:NOUN:PLURAL,whips,채찍
WEAPON:NOUN:PLURAL,battle axes,전투 도끼
WEAPON:NOUN:PLURAL,war hammers,전쟁 망치
WEAPON:NOUN:PLURAL,short swords,숏소드
WEAPON:NOUN:PLURAL,spears,창
WEAPON:NOUN:PLURAL,maces,메이스
WEAPON:NOUN:PLURAL,crossbows,석궁
WEAPON:NOUN:PLURAL,picks,전투 곡괭이
WEAPON:NOUN:PLURAL,bows,활
WEAPON:NOUN:PLURAL,blowguns,블로우건
WEAPON:NOUN:PLURAL,pikes,파이크
WEAPON:NOUN:PLURAL,halberds,할버드
WEAPON:NOUN:PLURAL,two-handed swords,양손검
WEAPON:NOUN:PLURAL,long swords,장검
WEAPON:NOUN:PLURAL,mauls,대형 망치
WEAPON:NOUN:PLURAL,great axes,대형 도끼
WEAPON:NOUN:PLURAL,daggers,단검
WEAPON:NOUN:PLURAL,scourges,스커지
WEAPON:NOUN:PLURAL,flails,플레일
WEAPON:NOUN:PLURAL,morningstars,모닝스타
WEAPON:NOUN:PLURAL,scimitars,시미터
WEAPON:NOUN:PLURAL,training axes,훈련용 도끼
WEAPON:NOUN:PLURAL,training swords,훈련용 검
WEAPON:NOUN:PLURAL,training spears,훈련용 창
