table,text,translation
PLANT,{SINGULAR},{SINGULAR}
PLANT,{PLURAL},{PLURAL}
PLANT:SINGULAR,{:PLANT:BUSH:SINGULAR},{:PLANT:BUSH:SINGULAR}
PLANT:SINGULAR,{:PLANT:TREE:SINGULAR},{:PLANT:TREE:SINGULAR}
PLANT:SINGULAR,{:PLANT:GRASS:SINGULAR},{:PLANT:GRASS:SINGULAR}
PLANT:PLURAL,{:PLANT:BUSH:PLURAL},{:PLANT:BUSH:PLURAL}
PLANT:PLURAL,{:PLANT:TREE:PLURAL},{:PLANT:TREE:PLURAL}
PLANT:PLURAL,{:PLANT:GRASS:PLURAL},{:PLANT:GRASS:PLURAL}
PLANT:BUSH:SINGULAR,single-grain wheat,单粒小麦
PLANT:BUSH:SINGULAR,two-grain wheat,双粒小麦
PLANT:BUSH:SINGULAR,soft wheat,软质小麦
PLANT:BUSH:SINGULAR,hard wheat,硬质小麦
PLANT:BUSH:SINGULAR,spelt,斯佩尔特麦
PLANT:BUSH:SINGULAR,barley,大麦
PLANT:BUSH:SINGULAR,buckwheat,荞麦
PLANT:BUSH:SINGULAR,oat,燕麦
PLANT:BUSH:SINGULAR,alfalfa,苜蓿
PLANT:BUSH:SINGULAR,rye,黑麦
PLANT:BUSH:SINGULAR,sorghum,高粱
PLANT:BUSH:SINGULAR,quinoa,藜麦
PLANT:BUSH:SINGULAR,kaniwa,彩藜
PLANT:BUSH:SINGULAR,bitter vetch,苦野豌豆
PLANT:BUSH:SINGULAR,pendant amaranth,吊坠苋
PLANT:BUSH:SINGULAR,blood amaranth,血苋
PLANT:BUSH:SINGULAR,purple amaranth,紫苋
PLANT:BUSH:SINGULAR,red spinach,红菠菜
PLANT:BUSH:SINGULAR,elephant-head amaranth,象头苋
PLANT:BUSH:SINGULAR,papyrus sedge,纸莎草
PLANT:BUSH:SINGULAR,artichoke,洋蓟
PLANT:BUSH:SINGULAR,asparagus,芦笋
PLANT:BUSH:SINGULAR,cabbage,卷心菜
PLANT:BUSH:SINGULAR,cassava,木薯
PLANT:BUSH:SINGULAR,celery,芹菜
PLANT:BUSH:SINGULAR,chicory,菊苣
PLANT:BUSH:SINGULAR,eggplant,茄子
PLANT:BUSH:SINGULAR,garden cress,水芹
PLANT:BUSH:SINGULAR,leek,韭葱
PLANT:BUSH:SINGULAR,lettuce,生菜
PLANT:BUSH:SINGULAR,rhubarb,大黄
PLANT:BUSH:SINGULAR,spinach,菠菜
PLANT:BUSH:SINGULAR,taro,芋头
PLANT:BUSH:SINGULAR,plump helmet,肉盔菇
PLANT:BUSH:SINGULAR,pig tail,猪尾草
PLANT:BUSH:SINGULAR,cave wheat,洞穴小麦
PLANT:BUSH:SINGULAR,sweet pod,甜豆荚
PLANT:BUSH:SINGULAR,muck root,淤曲根
PLANT:BUSH:SINGULAR,bloated tuber,膨地根
PLANT:BUSH:SINGULAR,kobold bulb,犬蜥球茎
PLANT:BUSH:SINGULAR,prickle berry,刺莓
PLANT:BUSH:SINGULAR,Longland grass,长岛草
PLANT:BUSH:SINGULAR,valley herb,山谷香草
PLANT:BUSH:SINGULAR,rat weed,杂鼠草
PLANT:BUSH:SINGULAR,fisher berry,渔夫浆果
PLANT:BUSH:SINGULAR,rope reed,绳索苇
PLANT:BUSH:SINGULAR,dimple cup,窝杯菇
PLANT:BUSH:SINGULAR,blade weed,刀刃草
PLANT:BUSH:SINGULAR,hide root,匿茎草
PLANT:BUSH:SINGULAR,sliver barb,裂钩草
PLANT:BUSH:SINGULAR,sun berry,太阳浆果
PLANT:BUSH:SINGULAR,{:PLANT:BUSH:PLANT} plant,{:PLANT:BUSH:PLANT}植株
PLANT:BUSH:SINGULAR,{:PLANT:BUSH:BUSH} bush,{:PLANT:BUSH:BUSH}灌木
PLANT:BUSH:SINGULAR,{:PLANT:BUSH:VINE} vine,{:PLANT:BUSH:VINE}藤
PLANT:BUSH:PLURAL,single-grain wheat,单粒小麦
PLANT:BUSH:PLURAL,two-grain wheat,双粒小麦
PLANT:BUSH:PLURAL,soft wheat,软质小麦
PLANT:BUSH:PLURAL,hard wheat,硬质小麦
PLANT:BUSH:PLURAL,spelt,斯佩尔特麦
PLANT:BUSH:PLURAL,barley,大麦
PLANT:BUSH:PLURAL,buckwheat,荞麦
PLANT:BUSH:PLURAL,oats,燕麦
PLANT:BUSH:PLURAL,alfalfa,苜蓿
PLANT:BUSH:PLURAL,rye,黑麦
PLANT:BUSH:PLURAL,sorghum,高粱
PLANT:BUSH:PLURAL,quinoa,藜麦
PLANT:BUSH:PLURAL,kaniwa,彩藜
PLANT:BUSH:PLURAL,bitter vetch,苦野豌豆
PLANT:BUSH:PLURAL,pendant amaranths,吊坠苋
PLANT:BUSH:PLURAL,blood amaranths,血苋
PLANT:BUSH:PLURAL,purple amaranths,紫苋
PLANT:BUSH:PLURAL,red spinach,红菠菜
PLANT:BUSH:PLURAL,elephant-head amaranths,象头苋
PLANT:BUSH:PLURAL,papyrus sedges,纸莎草
PLANT:BUSH:PLURAL,artichokes,洋蓟
PLANT:BUSH:PLURAL,asparagus,芦笋
PLANT:BUSH:PLURAL,cabbages,卷心菜
PLANT:BUSH:PLURAL,cassavas,木薯
PLANT:BUSH:PLURAL,celery,芹菜
