table,text,translation
HELM,{SINGULAR},{SINGULAR}
HELM,{PLURAL},{PLURAL}
HELM:SINGULAR:^0,{:HELM:PREFIX},{:HELM:PREFIX}
HELM:SINGULAR:^0,,
HELM:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
HELM:SINGULAR:^1,,
HELM:SINGULAR:^2,chain,사슬
HELM:SINGULAR:^2,,
HELM:SINGULAR,{:HELM:NOUN:SINGULAR},{:HELM:NOUN:SINGULAR}
HELM:PLURAL:^0,{:HELM:PREFIX},{:HELM:PREFIX}
HELM:PLURAL:^0,,
HELM:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
HELM:PLURAL:^1,,
HELM:PLURAL:^2,chain,사슬
HELM:PLURAL:^2,,
HELM:PLURAL,{:HELM:NOUN:PLURAL},{:HELM:NOUN:PLURAL}
HELM:PREFIX,,
HELM:NOUN:SINGULAR,helm,투구
HELM:NOUN:SINGULAR,cap,모자
HELM:NOUN:SINGULAR,hood,후드
HELM:NOUN:SINGULAR,turban,터번
HELM:NOUN:SINGULAR,mask,마스크
HELM:NOUN:SINGULAR,head veil,머리 베일
HELM:NOUN:SINGULAR,face veil,얼굴 베일
HELM:NOUN:SINGULAR,headscarf,헤드스카프
HELM:NOUN:PLURAL,helms,투구
HELM:NOUN:PLURAL,caps,모자
HELM:NOUN:PLURAL,hoods,후드
HELM:NOUN:PLURAL,turbans,터번
HELM:NOUN:PLURAL,masks,마스크
HELM:NOUN:PLURAL,head veils,머리 베일
HELM:NOUN:PLURAL,face veils,얼굴 베일
HELM:NOUN:PLURAL,headscarves,헤드스카프
