table,text,translation
CONSTRUCTION_MENU,{MAIN},{MAIN}
CONSTRUCTION_MENU,{WORKSHOPS},{WORKSHOPS}
CONSTRUCTION_MENU,{WORKSHOPS_FURNACES},{WORKSHOPS_FURNACES}
CONSTRUCTION_MENU,{WORKSHOPS_CLOTHING},{WORKSHOPS_CLOTHING}
CONSTRUCTION_MENU,{WORKSHOPS_FARMING},{WORKSHOPS_FARMING}
CONSTRUCTION_MENU,{FURNITURE},{FURNITURE}
CONSTRUCTION_MENU,{DOORS_HATCHES},{DOORS_HATCHES}
CONSTRUCTION_MENU,{WALLS_FLOORS},{WALLS_FLOORS}
CONSTRUCTION_MENU,{MACHINES_FLUIDS},{MACHINES_FLUIDS}
CONSTRUCTION_MENU,{CAGES_RESTRAINTS},{CAGES_RESTRAINTS}
CONSTRUCTION_MENU,{TRAPS},{TRAPS}
CONSTRUCTION_MENU,{MILITARY},{MILITARY}
CONSTRUCTION_MENU:MAIN,Workshops,작업장
CONSTRUCTION_MENU:MAIN,Furniture,가구
CONSTRUCTION_MENU:MAIN,Doors/hatches,문/해치
CONSTRUCTION_MENU:MAIN,Constructions,구축물
CONSTRUCTION_MENU:MAIN,Machines/fluids,기계/유체
CONSTRUCTION_MENU:MAIN,Cages/restraints,우리/구속장치
CONSTRUCTION_MENU:MAIN,Traps,함정
CONSTRUCTION_MENU:MAIN,Military,군사
CONSTRUCTION_MENU:MAIN,Trade depot,교역소
CONSTRUCTION_MENU:WORKSHOPS,Clothing and leather,의복과 가죽
CONSTRUCTION_MENU:WORKSHOPS,Farming,농업
CONSTRUCTION_MENU:WORKSHOPS,Furnaces,용광로
CONSTRUCTION_MENU:WORKSHOPS,Ashery,재 작업장
CONSTRUCTION_MENU:WORKSHOPS,Bowyer,궁 제작소
CONSTRUCTION_MENU:WORKSHOPS,Carpenter,목수
CONSTRUCTION_MENU:WORKSHOPS,Crafts,공예
CONSTRUCTION_MENU:WORKSHOPS,Jeweler,보석세공사
CONSTRUCTION_MENU:WORKSHOPS,Magma forge,마그마 대장간
CONSTRUCTION_MENU:WORKSHOPS,Mechanic,기계공
CONSTRUCTION_MENU:WORKSHOPS,Metalsmith,대장간
CONSTRUCTION_MENU:WORKSHOPS,Siege,공성
CONSTRUCTION_MENU:WORKSHOPS,Stoneworker,석공
CONSTRUCTION_MENU:WORKSHOPS,Soap Maker's Workshop,비누 제작 작업장
CONSTRUCTION_MENU:WORKSHOPS,Screw Press,나사식 압착기
