source_noun,adjective,adjective_translation_override
,rock,石制
,magma,
,boiling magma,
,amber,
,ground amber,
,amber paste,
,pressed amber,
,coral,
,ground coral,
,coral paste,
,pressed coral,
,green glass,
,molten green glass,
,boiling green glass,
,ground green glass,
,green glass paste,
,pressed green glass,
,clear glass,
,molten clear glass,
,boiling clear glass,
,ground clear glass,
,clear glass paste,
,pressed clear glass,
,crystal glass,
,molten crystal glass,
,boiling crystal glass,
,ground crystal glass,
,crystal glass paste,
,pressed crystal glass,
,ice,
,water,
,steam,
,snow,
,slush,
,coal,
,coal powder,
,coal slush,
,pressed coal,
,potash,
,potash slush,
,pressed potash,
,ash,
,ash paste,
,pressed ash,
,pearlash,
,pearlash paste,
,pressed pearlash,
,frozen lye,
,lye,
,boiling lye,
,frozen lye powder,
,lye slush,
,mud,
,dirt,
,pressed dirt,
,vomit,
,pressed vomit,
,salt,
,molten salt,
,boiling salt,
,filth,
,pressed filth,
,frozen filth,
,boiling filth,
,frozen filth powder,
,filth slush,
,unknown frozen substance,
,unknown substance,
,unknown boiling substance,
,unknown frozen powder,
,unknown slush,
,grime,
,grime paste,
,pressed grime,
,unknown frozen creature substance,
,unknown creature substance,
,unknown boiling creature substance,
,unknown frozen creature powder,
,unknown creature paste,
,unknown pressed frozen creature substance,
,unknown frozen plant substance,
,unknown plant substance,
,unknown boiling plant substance,
,unknown frozen plant powder,
,unknown frozen plant paste,
,unknown pressed frozen plant substance,
,iron,铁制
,molten iron,
,boiling iron,
gold dust,gold,金制
,molten gold,
,boiling gold,
,silver,银制
,molten silver,
,boiling silver,
,copper,铜制
,molten copper,
,boiling copper,
,nickel,镍制
,molten nickel,
,boiling nickel,
,zinc,锌制
,molten zinc,
,boiling zinc,
,bronze,
,molten bronze,
,boiling bronze,
,brass,
,molten brass,
,boiling brass,
,steel,钢制
,molten steel,
,boiling steel,
,pig iron,
,molten pig iron,
,boiling pig iron,
,platinum,铂制
,molten platinum,
,boiling platinum,
,electrum,
,molten electrum,
,boiling electrum,
,tin,锡制
,molten tin,
,boiling tin,
,fine pewter,
,molten fine pewter,
,boiling fine pewter,
,trifle pewter,
,molten trifle pewter,
,boiling trifle pewter,
,lay pewter,
,molten lay pewter,
,boiling lay pewter,
,lead,铅制
,molten lead,
,boiling lead,
,aluminum,铝制
,molten aluminum,
,boiling aluminum,
,nickel silver,
,molten nickel silver,
,boiling nickel silver,
,billon,
,molten billon,
,boiling billon,
,sterling silver,
,molten sterling silver,
,boiling sterling silver,
,black bronze,
,molten black bronze,
,boiling black bronze,
,rose gold,
,molten rose gold,
,boiling rose gold,
,bismuth,铋制
,molten bismuth,
,boiling bismuth,
,bismuth bronze,
,molten bismuth bronze,
,boiling bismuth bronze,
,adamantine,
,molten adamantine,
,boiling adamantine,
,gypsum plaster,
,earthenware,
,stoneware,
,porcelain,
,ash glaze,
,tin glaze,
,quicklime,
,milk of lime,
,onyx,
,morion,
,schorl,
,lace agate,
,blue jade,
,lapis lazuli,
,prase,
,prase opal,
,bloodstone,
,moss agate,
,moss opal,
,variscite,
,chrysoprase,
,chrysocolla,
,sard,
,carnelian,
,banded agate,
,sardonyx,
,cherry opal,
,lavender jade,
,pink jade,
,tube agate,
,fire agate,
,plume agate,
,brown jasper,
,picture jasper,
,smoky quartz,
,wax opal,
,wood opal,
