table,text,translation
GEM_DETAILS,{SINGULAR},{SINGULAR}
GEM_DETAILS,{PLURAL},{PLURAL}
GEM_DETAILS:SINGULAR,{NOUN},{NOUN}
GEM_DETAILS:SINGULAR,{ADJECTIVE_NOUN},{ADJECTIVE_NOUN}
GEM_DETAILS:SINGULAR,{ADJECTIVE},{ADJECTIVE}
GEM_DETAILS:PLURAL,{NOUN},{NOUN}
GEM_DETAILS:PLURAL,{ADJECTIVE_NOUN},{ADJECTIVE_NOUN}
GEM_DETAILS:PLURAL,{ADJECTIVE},{ADJECTIVE}
GEM_DETAILS:SINGULAR:NOUN:^0,{:GEM_DETAILS:MATERIAL},{:GEM_DETAILS:MATERIAL}
GEM_DETAILS:SINGULAR:NOUN:^0,,
GEM_DETAILS:SINGULAR:NOUN,{:GEM_DETAILS:SHAPE:NOUN:SINGULAR},{:GEM_DETAILS:SHAPE:NOUN:SINGULAR}
GEM_DETAILS:SINGULAR:ADJECTIVE_NOUN:^0,{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX},{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX}
GEM_DETAILS:SINGULAR:ADJECTIVE_NOUN:^0,,
GEM_DETAILS:SINGULAR:ADJECTIVE_NOUN:^1,{:GEM_DETAILS:MATERIAL},{:GEM_DETAILS:MATERIAL}
GEM_DETAILS:SINGULAR:ADJECTIVE_NOUN:^1,,
GEM_DETAILS:SINGULAR:ADJECTIVE_NOUN,{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:SINGULAR},{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:SINGULAR}
GEM_DETAILS:SINGULAR:ADJECTIVE:^0,{:GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX},{:GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX}
GEM_DETAILS:SINGULAR:ADJECTIVE:^0,,
GEM_DETAILS:SINGULAR:ADJECTIVE:^1,{:GEM_DETAILS:MATERIAL},{:GEM_DETAILS:MATERIAL}
GEM_DETAILS:SINGULAR:ADJECTIVE:^1,,
GEM_DETAILS:SINGULAR:ADJECTIVE,{:GEM_DETAILS:SHAPE:ADJECTIVE:SINGULAR},{:GEM_DETAILS:SHAPE:ADJECTIVE:SINGULAR}
GEM_DETAILS:SINGULAR:ADJECTIVE,{:GEM:SINGULAR},{:GEM:SINGULAR}
GEM_DETAILS:PLURAL:NOUN:^0,{:GEM_DETAILS:MATERIAL},{:GEM_DETAILS:MATERIAL}
GEM_DETAILS:PLURAL:NOUN:^0,,
GEM_DETAILS:PLURAL:NOUN,{:GEM_DETAILS:SHAPE:NOUN:PLURAL},{:GEM_DETAILS:SHAPE:NOUN:PLURAL}
GEM_DETAILS:PLURAL:ADJECTIVE_NOUN:^0,{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX},{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX}
GEM_DETAILS:PLURAL:ADJECTIVE_NOUN:^0,,
GEM_DETAILS:PLURAL:ADJECTIVE_NOUN:^1,{:GEM_DETAILS:MATERIAL},{:GEM_DETAILS:MATERIAL}
GEM_DETAILS:PLURAL:ADJECTIVE_NOUN:^1,,
GEM_DETAILS:PLURAL:ADJECTIVE_NOUN,{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PLURAL},{:GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PLURAL}
GEM_DETAILS:PLURAL:ADJECTIVE:^0,{:GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX},{:GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX}
GEM_DETAILS:PLURAL:ADJECTIVE:^0,,
GEM_DETAILS:PLURAL:ADJECTIVE:^1,{:GEM_DETAILS:MATERIAL},{:GEM_DETAILS:MATERIAL}
GEM_DETAILS:PLURAL:ADJECTIVE:^1,,
GEM_DETAILS:PLURAL:ADJECTIVE,{:GEM_DETAILS:SHAPE:ADJECTIVE:PLURAL},{:GEM_DETAILS:SHAPE:ADJECTIVE:PLURAL}
GEM_DETAILS:PLURAL:ADJECTIVE,{:GEM:PLURAL},{:GEM:PLURAL}
GEM_DETAILS:MATERIAL,{GLASS},{GLASS}
GEM_DETAILS:MATERIAL,{:GEM:SINGULAR},{:GEM:SINGULAR}
GEM_DETAILS:MATERIAL:GLASS,green glass,绿玻璃
