table,text,translation
TRAPCOMP,{SINGULAR},{SINGULAR}
TRAPCOMP,{PLURAL},{PLURAL}
TRAPCOMP:SINGULAR:^0,{:TRAPCOMP:PREFIX},{:TRAPCOMP:PREFIX}
TRAPCOMP:SINGULAR:^0,,
TRAPCOMP:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
TRAPCOMP:SINGULAR:^1,,
TRAPCOMP:SINGULAR,{:TRAPCOMP:NOUN:SINGULAR},{:TRAPCOMP:NOUN:SINGULAR}
TRAPCOMP:PLURAL:^0,{:TRAPCOMP:PREFIX},{:TRAPCOMP:PREFIX}
TRAPCOMP:PLURAL:^0,,
TRAPCOMP:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
TRAPCOMP:PLURAL:^1,,
TRAPCOMP:PLURAL,{:TRAPCOMP:NOUN:PLURAL},{:TRAPCOMP:NOUN:PLURAL}
TRAPCOMP:PREFIX,giant,거대형
TRAPCOMP:PREFIX,enormous,대형
TRAPCOMP:PREFIX,spiked,가시달린
TRAPCOMP:PREFIX,"large, serrated","대형,톱니달린"
TRAPCOMP:PREFIX,serrated,톱니달린
TRAPCOMP:PREFIX,menacing,위협적인
TRAPCOMP:NOUN:SINGULAR,axe blade,도끼날
TRAPCOMP:NOUN:SINGULAR,corkscrew,코르크스크루
TRAPCOMP:NOUN:SINGULAR,ball,공
TRAPCOMP:NOUN:SINGULAR,disc,톱날원반
TRAPCOMP:NOUN:SINGULAR,spike,가시
TRAPCOMP:NOUN:PLURAL,axe blades,도끼날
TRAPCOMP:NOUN:PLURAL,corkscrews,코르크스크루
TRAPCOMP:NOUN:PLURAL,balls,공
TRAPCOMP:NOUN:PLURAL,discs,톱날원반
TRAPCOMP:NOUN:PLURAL,spikes,가시
