id,noun,noun_translation,noun_dwarf_single,noun_dwarf_plural,noun_dwarf_translation
0,Miner,矿工,,,
1,Woodcutter,樵夫,,,
2,Carpenter,木匠,,,
3,Engraver,雕刻师,,,
4,Mason,石匠,,,
5,Animal Trainer,驯兽师,,,
6,Animal Caretaker,动物护理员,,,
7,Fish Dissector,剖鱼工,,,
8,Animal Dissector,动物解剖员,,,
9,Fish Cleaner,洗鱼工,,,
10,Butcher,屠夫,,,
11,Trapper,诱捕者,,,
12,Tanner,制革工,,,
13,Weaver,织工,,,
14,Brewer,酿造师,,,
15,Clothier,裁缝,,,
16,Miller,碾磨工,,,
17,Thresher,脱粒工,,,
18,Cheesemaker,制酪工,,,
19,Milker,挤奶工,,,
20,Cook,厨师,,,
21,Planter,播种者,,,
22,Herbalist,草药师,,,
23,Fisherman,渔夫,fisherdwarf,fisherdwarves,矮人渔夫
24,Furnace Operator,火炉操作员,,,
25,Strand Extractor,缕丝提取师,,,
26,Weaponsmith,武器匠,,,
27,Armorsmith,盔甲匠,,,
28,Blacksmith,锻造师,,,
29,Gem Cutter,宝石切割师,,,
30,Gem Setter,宝石镶嵌师,,,
31,Woodcrafter,木艺师,,,
32,Stone Crafter,石艺师,,,
33,Metal Crafter,金属工匠,,,
34,Glassmaker,玻璃匠,,,
35,Leatherworker,皮匠,,,
36,Bone Carver,骨雕师,,,
37,Axeman,斧手,axedwarf,axedwarves,矮人斧手
38,Swordsman,剑士,swordsdwarf,swordsdwarves,矮人剑士
39,Knife User,小刀使用者,,,
40,Maceman,页锤手,macedwarf,macedwarves,矮人页锤手
41,Hammerman,战锤手,hammerdwarf,hammerdwarves,矮人战锤手
42,Spearman,矛手,speardwarf,speardwarves,矮人矛手
43,Crossbowman,弩手,marksdwarf,marksdwarves,矮人弩手
44,Shield User,盾牌使用者,,,
45,Armor User,盔甲使用者,,,
46,Siege Engineer,攻城器技师,,,
47,Siege Operator,攻城器操作员,,,
48,Bowyer,弩匠,,,
49,Pikeman,长枪手,pikedwarf,pikedwarves,矮人长枪手
50,Lasher,鞭挞者,,,
51,Bowman,弓手,bowdwarf,bowdwarves,矮人弓手
52,Blowgunner,吹管手,,,
53,Thrower,投掷者,,,
54,Mechanic,机械师,,,
55,Druid,德鲁伊,,,
56,Ambusher,伏击者,,,
57,Wound Dresser,裹伤师,,,
58,Diagnostician,诊断医师,,,
59,Surgeon,外科医师,,,
60,Bone Doctor,骨科医师,,,
61,Suturer,缝合师,,,
62,Crutch-walker,拄拐行者,,,
63,Wood Burner,烧炭工,,,
64,Lye Maker,制碱液者,,,
65,Soaper,皂工,,,
66,Potash Maker,制草碱者,,,
67,Dyer,染工,,,
68,Pump Operator,泵机操作员,,,
69,Swimmer,游泳者,,,
70,Persuader,说服者,,,
71,Negotiator,交涉者,,,
72,Judge of Intent,意图判断,,,
73,Appraiser,估价员,,,
74,Organizer,组织者,,,
75,Record Keeper,记录员,,,
76,Liar,说谎者,,,
77,Intimidator,恐吓者,,,
78,Conversationalist,健谈者,,,
79,Comedian,趣者,,,
80,Flatterer,奉承者,,,
81,Consoler,慰藉者,,,
82,Pacifier,调解者,,,
83,Tracker,追踪者,,,
84,Student,学生,,,
85,Concentration,专注,,,
86,Discipline,遵守纪律,,,
87,Observer,观察者,,,
88,Wordsmith,文学家,,,
89,Writer,作者,,,
90,Poet,诗人,,,
91,Reader,阅读者,,,
92,Speaker,讲述者,,,
93,Coordination,协调,,,
94,Balance,平衡,,,
95,Leader,领导者,,,
96,Teacher,教师,,,
97,Fighter,战士,,,
98,Archer,射手,,,
99,Wrestler,摔跤手,,,
100,Biter,撕咬者,,,
101,Striker,搏击者,,,
102,Kicker,踢击者,,,
103,Dodger,躲闪者,,,
104,Misc. Object User,杂物使用者,,,
105,Knapper,碎石者,,,
106,Tactician,战术家,,,
107,Shearer,剪毛工,,,
108,Spinner,纺纱工,,,
109,Potter,陶艺师,,,
110,Glazer,釉工,,,
111,Presser,压榨工,,,
112,Beekeeper,养蜂人,,,
113,Wax Worker,蜡工,,,
114,Climber,攀爬者,,,
115,Gelder,骟匠,,,
116,Dancer,舞蹈家,,,
117,Musician,音乐家,,,
118,Singer,歌唱家,,,
119,Keyboardist,键盘乐师,,,
120,Stringed Instrumentalist,弦乐师,,,
121,Wind Instrumentalist,管乐师,,,
122,Percussionist,打击乐师,,,
123,Critical Thinker,批判思考者,,,
124,Logician,逻辑学家,,,
125,Mathematician,数学家,,,
126,Astronomer,天文学家,,,
127,Chemist,化学家,,,
128,Geographer,地理学家,,,
129,Optics Engineer,光学工程师,,,
130,Fluid Engineer,流体工程师,,,
131,Papermaker,造纸工,,,
132,Bookbinder,书籍装订员,,,
133,Schemer,阴谋家,,,
134,Rider,骑手,,,
135,Stonecutter,切石师,,,
136,Stone Carver,石雕师,,,
137,Skill 1,,,,
138,Skill 2,,,,
139,Skill 3,,,,
140,Skill 4,,,,
141,Skill 5,,,,
142,Skill 6,,,,
143,Skill 7,,,,
144,Skill 8,,,,
145,Skill 9,,,,
146,Skill 10,,,,
