table,text,translation
AMMO,{SINGULAR},{SINGULAR}
AMMO,{PLURAL},{PLURAL}
AMMO:SINGULAR:^0,{:AMMO:PREFIX},{:AMMO:PREFIX}
AMMO:SINGULAR:^0,,
AMMO:SINGULAR:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
AMMO:SINGULAR:^1,,
AMMO:SINGULAR,{:AMMO:NOUN:SINGULAR},{:AMMO:NOUN:SINGULAR}
AMMO:PLURAL:^0,{:AMMO:PREFIX},{:AMMO:PREFIX}
AMMO:PLURAL:^0,,
AMMO:PLURAL:^1,{:MATERIAL:ADJECTIVE},{:MATERIAL:ADJECTIVE}
AMMO:PLURAL:^1,,
AMMO:PLURAL,{:AMMO:NOUN:PLURAL},{:AMMO:NOUN:PLURAL}
AMMO:PREFIX,,
AMMO:NOUN:SINGULAR,bolt,弩矢
AMMO:NOUN:SINGULAR,arrow,弓箭
AMMO:NOUN:SINGULAR,blowdart,吹箭
AMMO:NOUN:PLURAL,bolts,弩矢
AMMO:NOUN:PLURAL,arrows,弓箭
AMMO:NOUN:PLURAL,blowdarts,吹箭
