table,text,translation
GEM,{SINGULAR},{SINGULAR}
GEM,{PLURAL},{PLURAL}
GEM:SINGULAR,{:GEM:MATERIAL:SINGULAR},{:GEM:MATERIAL:SINGULAR}
GEM:SINGULAR,{:MATERIAL},{:MATERIAL}
GEM:PLURAL,{:GEM:MATERIAL:PLURAL},{:GEM:MATERIAL:PLURAL}
GEM:PLURAL,{:MATERIAL},{:MATERIAL}
GEM:MATERIAL:SINGULAR,onyx,오닉스
GEM:MATERIAL:SINGULAR,morion,흑수정
GEM:MATERIAL:SINGULAR,schorl,흑전기석
GEM:MATERIAL:SINGULAR,lace agate,레이스 마노
GEM:MATERIAL:SINGULAR,blue jade,푸른 비취
GEM:MATERIAL:SINGULAR,lapis lazuli,청금석
GEM:MATERIAL:SINGULAR,prase,연녹색 석영
GEM:MATERIAL:SINGULAR,prase opal,연녹색 오팔
GEM:MATERIAL:SINGULAR,bloodstone,혈석
GEM:MATERIAL:SINGULAR,moss agate,이끼 마노
GEM:MATERIAL:SINGULAR,moss opal,이끼 오팔
GEM:MATERIAL:SINGULAR,variscite,바리사이트
GEM:MATERIAL:SINGULAR,chrysoprase,녹옥수
GEM:MATERIAL:SINGULAR,chrysocolla,크리소콜라
GEM:MATERIAL:SINGULAR,sard,갈색 옥수
GEM:MATERIAL:SINGULAR,carnelian,홍옥수
GEM:MATERIAL:SINGULAR,banded agate,줄무늬 마노
GEM:MATERIAL:SINGULAR,sardonyx,사르도닉스
GEM:MATERIAL:SINGULAR,cherry opal,체리 오팔
GEM:MATERIAL:SINGULAR,lavender jade,라벤더 비취
GEM:MATERIAL:SINGULAR,pink jade,분홍 비취
GEM:MATERIAL:SINGULAR,tube agate,튜브 마노
GEM:MATERIAL:SINGULAR,fire agate,불꽃 마노
GEM:MATERIAL:SINGULAR,plume agate,깃털 마노
GEM:MATERIAL:SINGULAR,brown jasper,갈색 벽옥
GEM:MATERIAL:SINGULAR,picture jasper,그림 벽옥
GEM:MATERIAL:SINGULAR,smoky quartz,연수정
GEM:MATERIAL:SINGULAR,wax opal,밀랍질 오팔
GEM:MATERIAL:SINGULAR,wood opal,나무 오팔
GEM:MATERIAL:SINGULAR,amber opal,호박 오팔
GEM:MATERIAL:SINGULAR,gold opal,금 오팔
GEM:MATERIAL:SINGULAR,citrine,황수정
GEM:MATERIAL:SINGULAR,yellow jasper,황벽옥
GEM:MATERIAL:SINGULAR,tigereye,호안석
GEM:MATERIAL:SINGULAR,tiger iron,호철석
GEM:MATERIAL:SINGULAR,sunstone,일장석
GEM:MATERIAL:SINGULAR,resin opal,수지광 오팔
GEM:MATERIAL:SINGULAR,pyrite,황철석
GEM:MATERIAL:SINGULAR,clear tourmaline,투명 전기석
GEM:MATERIAL:SINGULAR,gray chalcedony,회색 옥수
GEM:MATERIAL:SINGULAR,dendritic agate,수지상 마노
GEM:MATERIAL:SINGULAR,shell opal,조개 오팔
GEM:MATERIAL:SINGULAR,bone opal,골질 오팔
GEM:MATERIAL:SINGULAR,white chalcedony,백옥수
GEM:MATERIAL:SINGULAR,fortification agate,성곽마노
GEM:MATERIAL:SINGULAR,milk quartz,유백수정
GEM:MATERIAL:SINGULAR,moonstone,월장석
GEM:MATERIAL:SINGULAR,white jade,백비취
GEM:MATERIAL:SINGULAR,jasper opal,벽옥오팔
GEM:MATERIAL:SINGULAR,pineapple opal,파인애플오팔
GEM:MATERIAL:SINGULAR,onyx opal,오닉스오팔
GEM:MATERIAL:SINGULAR,milk opal,유백오팔
GEM:MATERIAL:SINGULAR,pipe opal,파이프오팔
GEM:MATERIAL:SINGULAR,aventurine,사금석
GEM:MATERIAL:SINGULAR,turquoise,터키석
GEM:MATERIAL:SINGULAR,rose quartz,장미수정
GEM:MATERIAL:SINGULAR,rock crystal,수정
GEM:MATERIAL:SINGULAR,black zircon,흑지르콘
GEM:MATERIAL:SINGULAR,black pyrope,흑파이로프
GEM:MATERIAL:SINGULAR,melanite,멜라나이트
GEM:MATERIAL:SINGULAR,indigo tourmaline,남색투르말린
GEM:MATERIAL:SINGULAR,blue garnet,청색가넷
GEM:MATERIAL:SINGULAR,tsavorite,차보라이트
GEM:MATERIAL:SINGULAR,green tourmaline,녹색투르말린
GEM:MATERIAL:SINGULAR,demantoid,데만토이드
GEM:MATERIAL:SINGULAR,green zircon,녹지르콘
GEM:MATERIAL:SINGULAR,green jade,녹비취
GEM:MATERIAL:SINGULAR,heliodor,헬리오도르
GEM:MATERIAL:SINGULAR,peridot,페리도트
GEM:MATERIAL:SINGULAR,red zircon,홍지르콘
GEM:MATERIAL:SINGULAR,red tourmaline,홍투르말린
GEM:MATERIAL:SINGULAR,red pyrope,적파이로프
GEM:MATERIAL:SINGULAR,almandine,알만딘
GEM:MATERIAL:SINGULAR,red grossular,홍그로슐라
GEM:MATERIAL:SINGULAR,pink tourmaline,분홍투르말린
GEM:MATERIAL:SINGULAR,red beryl,홍베릴
GEM:MATERIAL:SINGULAR,fire opal,화오팔
GEM:MATERIAL:SINGULAR,rhodolite,로돌라이트
GEM:MATERIAL:SINGULAR,purple spinel,자스피넬
GEM:MATERIAL:SINGULAR,alexandrite,알렉산드라이트
GEM:MATERIAL:SINGULAR,tanzanite,탄자나이트
GEM:MATERIAL:SINGULAR,morganite,모거나이트
GEM:MATERIAL:SINGULAR,violet spessartine,자스페서타인
GEM:MATERIAL:SINGULAR,pink garnet,분홍가넷
GEM:MATERIAL:SINGULAR,kunzite,쿤자이트
GEM:MATERIAL:SINGULAR,cinnamon grossular,계피색그로슐라
GEM:MATERIAL:SINGULAR,honey yellow beryl,꿀빛노란베릴
GEM:MATERIAL:SINGULAR,jelly opal,젤리오팔
GEM:MATERIAL:SINGULAR,brown zircon,갈색지르콘
GEM:MATERIAL:SINGULAR,yellow zircon,황지르콘
GEM:MATERIAL:SINGULAR,golden beryl,금베릴
GEM:MATERIAL:SINGULAR,yellow spessartine,황스페서타인
GEM:MATERIAL:SINGULAR,topaz,토파즈
GEM:MATERIAL:SINGULAR,topazolite,토파졸라이트
GEM:MATERIAL:SINGULAR,yellow grossular,노란 그로슐라
GEM:MATERIAL:SINGULAR,rubicelle,주황 스피넬
GEM:MATERIAL:SINGULAR,clear garnet,투명한 가넷
GEM:MATERIAL:SINGULAR,goshenite,고셔나이트
GEM:MATERIAL:SINGULAR,cat's eye,묘안석
GEM:MATERIAL:SINGULAR,clear zircon,투명한 지르콘
GEM:MATERIAL:SINGULAR,amethyst,자수정
GEM:MATERIAL:SINGULAR,aquamarine,아쿠아마린
GEM:MATERIAL:SINGULAR,red spinel,붉은 스피넬
GEM:MATERIAL:SINGULAR,chrysoberyl,크리소베릴
GEM:MATERIAL:SINGULAR,precious fire opal,귀한 파이어 오팔
GEM:MATERIAL:SINGULAR,red flash opal,붉은 섬광 오팔
GEM:MATERIAL:SINGULAR,black opal,검은 오팔
GEM:MATERIAL:SINGULAR,white opal,하얀 오팔
GEM:MATERIAL:SINGULAR,crystal opal,크리스탈 오팔
GEM:MATERIAL:SINGULAR,claro opal,스모크 오팔
GEM:MATERIAL:SINGULAR,levin opal,번개 오팔
GEM:MATERIAL:SINGULAR,harlequin opal,할리퀸 오팔
GEM:MATERIAL:SINGULAR,pinfire opal,핀파이어 오팔
GEM:MATERIAL:SINGULAR,bandfire opal,불무늬 오팔
GEM:MATERIAL:SINGULAR,light yellow diamond,밝은 노란 다이아몬드
GEM:MATERIAL:SINGULAR,faint yellow diamond,옅은 노란 다이아몬드
GEM:MATERIAL:SINGULAR,emerald,에메랄드
GEM:MATERIAL:SINGULAR,ruby,루비
GEM:MATERIAL:SINGULAR,sapphire,사파이어
GEM:MATERIAL:SINGULAR,clear diamond,투명한 다이아몬드
GEM:MATERIAL:SINGULAR,red diamond,붉은 다이아몬드
GEM:MATERIAL:SINGULAR,green diamond,녹색 다이아몬드
GEM:MATERIAL:SINGULAR,blue diamond,파란 다이아몬드
GEM:MATERIAL:SINGULAR,yellow diamond,노란 다이아몬드
GEM:MATERIAL:SINGULAR,black diamond,검은 다이아몬드
GEM:MATERIAL:SINGULAR,star sapphire,스타 사파이어
GEM:MATERIAL:SINGULAR,star ruby,스타 루비
GEM:MATERIAL:PLURAL,onyxes,오닉스
GEM:MATERIAL:PLURAL,morions,흑수정
GEM:MATERIAL:PLURAL,schorls,흑전기석
GEM:MATERIAL:PLURAL,lace agates,레이스 마노
GEM:MATERIAL:PLURAL,blue jades,푸른 비취
GEM:MATERIAL:PLURAL,lapis lazulis,청금석
GEM:MATERIAL:PLURAL,prases,연녹색 석영
GEM:MATERIAL:PLURAL,prase opals,연녹색 오팔
GEM:MATERIAL:PLURAL,bloodstones,혈석
GEM:MATERIAL:PLURAL,moss agates,이끼 마노
GEM:MATERIAL:PLURAL,moss opals,이끼 오팔
GEM:MATERIAL:PLURAL,variscites,바리사이트
GEM:MATERIAL:PLURAL,chrysoprases,크리소프레이즈
GEM:MATERIAL:PLURAL,chrysocollas,크리소콜라
GEM:MATERIAL:PLURAL,sards,사드
GEM:MATERIAL:PLURAL,carnelians,커넬리언
GEM:MATERIAL:PLURAL,banded agates,줄무늬 마노
GEM:MATERIAL:PLURAL,sardonyxes,사도닉스
GEM:MATERIAL:PLURAL,cherry opals,체리 오팔
GEM:MATERIAL:PLURAL,lavender jades,라벤더 비취
GEM:MATERIAL:PLURAL,pink jades,핑크 비취
GEM:MATERIAL:PLURAL,tube agates,튜브 마노
GEM:MATERIAL:PLURAL,fire agates,파이어 마노
GEM:MATERIAL:PLURAL,plume agates,플룸 마노
