table,text,translation
PROFESSION,Woodworker,목공
PROFESSION,Stoneworker,석공
PROFESSION,Ranger,레인저
PROFESSION,Hunter,사냥꾼
PROFESSION,Metalsmith,금속 대장장이
PROFESSION,Armorer,갑옷 제작자
PROFESSION,Metalcrafter,금속 공예가
PROFESSION,Jeweler,보석 세공사
PROFESSION,Craftsman,장인
PROFESSION,Stonecrafter,석공예가
PROFESSION,Fishery Worker,어업 노동자
PROFESSION,Farmer,농부
PROFESSION,Soap Maker,비누 제작자
PROFESSION,Engineer,공학자
PROFESSION,Clerk,서기
PROFESSION,Administrator,관리자
PROFESSION,Trader,무역상
PROFESSION,Doctor,의사
PROFESSION,Merchant,상인
PROFESSION,Hammer Lord,전쟁망치 군주
PROFESSION,Spearmaster,창술의 달인
PROFESSION,Elite Crossbowman,정예 석궁수
PROFESSION,Elite Wrestler,정예 레슬러
PROFESSION,Axe Lord,전투도끼 군주
PROFESSION,Swordmaster,검술의 달인
PROFESSION,Mace Lord,철퇴 군주
PROFESSION,Pikemaster,장창의 달인
PROFESSION,Elite Bowman,정예 궁수
PROFESSION,Master Blowgunner,블로우건의 달인
PROFESSION,Master Lasher,채찍의 달인
PROFESSION,Recruit,신병
PROFESSION,Hunting,사냥
PROFESSION,War,전쟁
PROFESSION,Master Thief,도둑의 달인
PROFESSION,Thief,도둑
PROFESSION,Peasant,평민
PROFESSION,Child,어린이
PROFESSION,Baby,아기
PROFESSION,Dwarven Child,드워프 어린이
PROFESSION,Dwarven Baby,드워프 아기
PROFESSION,Drunk,주정뱅이
PROFESSION,Monster Slayer,괴물 사냥꾼
PROFESSION,Scout,정찰병
PROFESSION,Beast Hunter,맹수 사냥꾼
PROFESSION,Snatcher,납치범
PROFESSION,Mercenary,용병
PROFESSION,Performer,공연자
PROFESSION,Bard,음유시인
PROFESSION,Sage,현자
PROFESSION,Scholar,학자
PROFESSION,Philosopher,철학자
PROFESSION,Historian,역사학자
PROFESSION,Naturalist,박물학자
PROFESSION,Scribe,필경사
PROFESSION,Tavern Keeper,주점지기
PROFESSION,Criminal,범죄자
PROFESSION,Peddler,행상인
PROFESSION,Prophet,예언자
PROFESSION,Pilgrim,순례자
PROFESSION,Monk,승려
PROFESSION,Messenger,전령
PROFESSION,craftsdwarf,드워프 공예가
PROFESSION,Elite Marksdwarf,정예 드워프 석궁수
PROFESSION,Elite Bowdwarf,정예 드워프 궁수
PROFESSION,{:SKILL:NAME},{:SKILL:NAME}
