rules,noun,noun_translation
BLS,magma,岩浆
,rock,岩石
GSP/PRS/PSS,amber,琥珀
GSP/PRS/PSS,coral,珊瑚
BSS/GSP/MSM/PRS/PSS,green glass,绿玻璃
BSS/GSP/MSM/PRS/PSS,clear glass,透明玻璃
BSS/GSP/MSM/PRS/PSS,crystal glass,水晶玻璃
,ice,冰
,slush,泥地
,snow,雪
,steam,蒸汽
,water,水
PRS/SSL/SSP,coal,煤炭
PRS/SSL,potash,草碱
PRS/PSS,ash,灰烬
PRS/PSS,pearlash,珍珠灰
SSP,frozen lye,结冻碱液
BLS/FLS/SLL,lye,碱液
,dirt,土壤
,mud,淤泥
,pressed dirt,草径
PRS,vomit,呕吐物
BSS/MSM,salt,盐
BLS/FLS/PRS/SLL,filth,污垢
SSP,frozen filth,结冻污垢
,unknown boiling substance,未知沸腾物质
,unknown frozen powder,未知冻结粉末
,unknown frozen substance,未知冻结物质
,unknown slush,未知污水
,unknown substance,未知物质
PRS/PSS,grime,尘垢
,unknown boiling creature substance,未知沸腾生物质
,unknown creature paste,未知生物浓浆
,unknown creature substance,未知生物质
,unknown frozen creature powder,未知生物质粉末
,unknown frozen creature substance,未知冻结生物质
,unknown pressed frozen creature substance,未知压实冻结生物质
,unknown boiling plant substance,未知沸腾植物衍生品
,unknown frozen plant paste,未知冻结植属浓浆
,unknown frozen plant powder,未知冻结植属粉末
,unknown frozen plant substance,未知冻结植物衍生品
,unknown plant substance,未知植物衍生品
,unknown pressed frozen plant substance,未知压实冻结植物衍生品
BSS/MSM,iron,铁
BSS/MSM/SLD,gold,金
,metal,金属
BSS/MSM,silver,银
BSS/MSM,copper,铜
BSS/MSM,nickel,镍
BSS/MSM,zinc,锌
BSS/MSM,bronze,青铜
BSS/MSM,brass,黄铜
BSS/MSM,steel,钢
BSS/MSM,pig iron,生铁
BSS/MSM,platinum,铂
BSS/MSM,electrum,琥珀金
BSS/MSM,tin,锡
BSS/MSM,fine pewter,精白锡
BSS/MSM,trifle pewter,廉白锡
BSS/MSM,lay pewter,劣白锡
BSS/MSM,lead,铅
BSS/MSM,aluminum,铝
BSS/MSM,nickel silver,镍银
BSS/MSM,billon,毕朗合金
BSS/MSM,sterling silver,标准银
BSS/MSM,black bronze,乌青铜
BSS/MSM,rose gold,玫瑰金
BSS/MSM,bismuth,铋
BSS/MSM,bismuth bronze,铋青铜
BSS/MSM,adamantine,精金
,gypsum plaster,石膏灰泥
,earthenware,瓦陶
,stoneware,炻瓷
,porcelain,瓷器
,ash glaze,灰釉
,tin glaze,锡釉
,quicklime,生石灰
,milk of lime,石灰乳
,onyx,缟玛瑙
,onyxes,缟玛瑙
GPL,morion,黑水晶
GPL,schorl,黑碧玺
GPL,lace agate,蕾丝玛瑙
GPL,blue jade,蓝翡翠
GPL,lapis lazuli,青金石
GPL,prase,苍绿石英
GPL,prase opal,苍绿欧泊
GPL,bloodstone,血石
GPL,moss agate,苔藓玛瑙
GPL,moss opal,苔藓欧泊
GPL,variscite,磷铝石
GPL,chrysoprase,绿玉髓
GPL,chrysocolla,硅孔雀石
GPL,sard,褐玉髓
GPL,carnelian,红玉髓
GPL,banded agate,条纹玛瑙
,sardonyx,缠丝玛瑙
,sardonyxes,缠丝玛瑙
GPL,cherry opal,樱桃欧泊
GPL,lavender jade,紫翡翠
GPL,pink jade,粉红翡翠
GPL,tube agate,管脉玛瑙
GPL,fire agate,火玛瑙
GPL,plume agate,羽毛玛瑙
GPL,brown jasper,棕碧玉
GPL,picture jasper,图画碧玉
,smoky quartz,烟石英
,smoky quartzes,烟石英
GPL,wax opal,蜡质欧泊
GPL,wood opal,木欧泊
GPL,amber opal,琥珀欧泊
GPL,gold opal,金欧泊
GPL,citrine,黄水晶
GPL,yellow jasper,黄碧玉
GPL,tigereye,虎眼石
GPL,tiger iron,虎铁石
GPL,sunstone,日长石
GPL,resin opal,脂光欧泊
GPL,pyrite,黄铁矿
GPL,clear tourmaline,透明碧玺
,gray chalcedony,灰玉髓
,gray chalcedonies,灰玉髓
GPL,dendritic agate,枝纹玛瑙
GPL,shell opal,贝壳欧泊
GPL,bone opal,骨质欧泊
,white chalcedony,白玉髓
,white chalcedonies,白玉髓
GPL,fortification agate,城垒玛瑙
,milk quartz,乳石英
,milk quartzes,乳石英
GPL,moonstone,月长石
GPL,white jade,白翡翠
GPL,jasper opal,碧玉欧泊
GPL,pineapple opal,凤梨欧泊
GPL,onyx opal,缟纹欧泊
GPL,milk opal,乳欧泊
GPL,pipe opal,管纹欧泊
GPL,aventurine,砂金石
GPL,turquoise,绿松石
,rose quartz,蔷薇石英
,rose quartzes,蔷薇石英
GPL,rock crystal,岩石水晶
GPL,black zircon,黑锆石
GPL,black pyrope,黑榴石
GPL,melanite,墨榴石
