id,table,text,translation
CREATURE:TOAD,CREATURE:NAME:SINGULAR,toad,두꺼비
CREATURE:TOAD,CREATURE:NAME:PLURAL,toads,두꺼비
CREATURE:TOAD,CREATURE:NAME:ADJECTIVE,toad,두꺼비
CREATURE:TOAD,CREATURE:PREFSTRING,beauty,아름다움
CREATURE:TOAD:ALL,CREATURE:CASTE:NAME:SINGULAR,toad,두꺼비
CREATURE:TOAD:ALL,CREATURE:CASTE:NAME:PLURAL,toads,두꺼비
CREATURE:TOAD:ALL,CREATURE:CASTE:NAME:ADJECTIVE,toad,두꺼비
CREATURE:TOAD:ALL,CREATURE:CASTE:DESCRIPTION,"A squat amphibian with leathery skin, found in relatively dry areas.",가죽 같은 피부를 가진 키 작고 통통한 양서류로，피부가 거칠며，보통 비교적 건조한 지역에서 발견된다。
CREATURE:TOAD:ALL,CREATURE:CASTE:ATTACK:SECOND,bite,문다
CREATURE:TOAD:ALL,CREATURE:CASTE:ATTACK:THIRD,bites,문다
CREATURE:TOAD:ALL,CREATURE:CASTE:TLCM:SINGULAR,skin,피부
CREATURE:TOAD:ALL,CREATURE:CASTE:TLCM:PLURAL,eyes,눈
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Scramble,버둥거리기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Faster Crawl,더 빠른 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Fast Crawl,빠른 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Crawl,기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Slow Crawl,느린 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:WALK,Creep,살금살금 걷기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Scramble,버둥거리기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Faster Crawl,더 빠른 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Fast Crawl,빠른 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Crawl,기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Slow Crawl,느린 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:CRAWL,Creep,살금살금 기어가기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Maximum Swim Speed,최고 속도로 헤엄치기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Faster Swim,더 빠르게 헤엄치기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Fast Swim,빠르게 헤엄치기
CREATURE:TOAD:ALL,CREATURE:CASTE:GAIT:SWIM,Swim,헤엄치기
