group,key,npl,adj,ssg,spl,rtn,tkn,hbn,lbn,tgn,cpn,name,name_translation
bushes,PLANT:SINGLE-GRAIN_WHEAT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,single-grain wheat,单粒小麦
bushes,PLANT:TWO-GRAIN_WHEAT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,two-grain wheat,双粒小麦
bushes,PLANT:SOFT_WHEAT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,soft wheat,软质小麦
bushes,PLANT:HARD_WHEAT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,hard wheat,硬质小麦
bushes,PLANT:SPELT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,spelt,斯佩尔特麦
bushes,PLANT:BARLEY,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,barley,大麦
bushes,PLANT:BUCKWHEAT,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,buckwheat,荞麦
bushes,PLANT:OATS,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,oat,燕麦
bushes,PLANT:ALFALFA,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,alfalfa,苜蓿
bushes,PLANT:RYE,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,rye,黑麦
bushes,PLANT:SORGHUM,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,sorghum,高粱
bushes,PLANT:RICE,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,rice plant,稻米植株
bushes,PLANT:MAIZE,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,maize plant,玉米植株
bushes,PLANT:QUINOA,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,quinoa,藜麦
bushes,PLANT:KANIWA,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,kaniwa,彩藜
bushes,PLANT:BITTER_VETCH,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,bitter vetch,苦野豌豆
bushes,PLANT:PENDANT_AMARANTH,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,pendant amaranth,吊坠苋
bushes,PLANT:BLOOD_AMARANTH,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,blood amaranth,血苋
bushes,PLANT:PURPLE_AMARANTH,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,purple amaranth,紫苋
bushes,PLANT:RED_SPINACH,CPY,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,red spinach,红菠菜
bushes,PLANT:ELEPHANT-HEAD_AMARANTH,STP,CPY,STD,STP,IGN,IGN,IGN,IGN,IGN,IGN,elephant-head amaranth,象头苋
bushes,PLANT:PEARL_MILLET,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,pearl millet plant,珍珠粟植株
bushes,PLANT:WHITE_MILLET,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,white millet plant,白粟植株
bushes,PLANT:FINGER_MILLET,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,finger millet plant,爪粟植株
bushes,PLANT:FOXTAIL_MILLET,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,foxtail millet plant,狐尾粟植株
bushes,PLANT:FONIO,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,fonio plant,非尼奥米植株
bushes,PLANT:TEFF,STP,CPY,PLT,CPY,IGN,IGN,IGN,IGN,IGN,IGN,teff plant,苔麸植株
bushes,PLANT:FLAX,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,flax plant,亚麻植株
bushes,PLANT:JUTE,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,jute plant,黄麻植株
bushes,PLANT:HEMP,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,hemp plant,大麻植株
bushes,PLANT:COTTON,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,cotton plant,棉花植株
bushes,PLANT:RAMIE,STP,CPY,PLS,STP,IGN,IGN,IGN,IGN,IGN,IGN,ramie plant,苎麻植株
