id,type,wildcard,wildcard_translation,use_noun_for_adj,use_standard_plural
0,BAR,bars,条锭,,
,,metal,金属,,
,,{} wafers,{}薄片,,
,,{} bars,{}锭,1,
,,coke,焦炭,,
,,charcoal,木炭,,
,,refined coal,精炼煤,,
1,SMALLGEM,cut gem,切割宝石,,
,,cut gems,切割宝石,,
,,cut green glass gems,切割绿玻璃宝石,,
,,cut clear glass gems,切割透明玻璃宝石,,
,,cut crystal glass gems,切割水晶玻璃宝石,,
,,gems,宝石,,
2,BLOCKS,blocks,砖块,,
,,{} blocks,{}块,1,
3,ROUGH,rough gem,粗糙宝石,,
,,rough gems,粗糙宝石,,
,,raw green glass,粗糙绿玻璃,,
,,raw clear glass,粗糙透明玻璃,,
,,raw crystal glass,粗糙水晶玻璃,,
4,BOULDER,boulder,巨石,,
,,stones,石头,,
5,WOOD,logs,原木,,
,,{} logs,{}原木,,
6,DOOR,door,房门,,1
,,portal,晶门,,1
,,{} portal,{}晶门,,1
,,{} door,{}门,,1
7,FLOODGATE,floodgate,闸门,,1
,,{} floodgate,{}闸门,,1
8,BED,bed,床,,1
,,{} bed,{}床,,1
9,CHAIR,chair,座椅,,1
,,throne,王座,,1
,,{} chair,{}椅,,1
,,{} throne,{}王座,,1
10,CHAIN,chain,链条,,1
,,rope,绳索,,1
,,{} chain,{}链条,,1
,,{} rope,{}绳,,1
11,FLASK,flask,携带瓶,,1
,,vial,小瓶,,1
,,waterskin,水袋,,1
,,{} flask,{}携带瓶,,1
,,{} vial,{}小瓶,,1
,,{} waterskin,{}水袋,,1
12,GOBLET,goblet,高脚杯,,1
,,cup,茶杯,,1
,,mug,柄杯,,1
,,{} goblet,{}高脚杯,,1
,,{} cup,{}茶杯,,1
,,{} mug,{}柄杯,,1
13,INSTRUMENT,instrument,乐器,,1
,,musical instrument,乐器,,1
14,TOY,toy,玩具,,1
15,WINDOW,window,窗,,1
,,{} window,{}窗,1,1
16,CAGE,cage,笼子,,1
,,terrarium,玻璃缸,,1
,,{} cage,{}笼子,,1
,,{} terrarium,{}缸,,1
17,BARREL,barrel,圆桶,,1
,,{} barrel,{}圆桶,,1
18,BUCKET,bucket,提桶,,1
,,{} bucket,{}提桶,,1
19,ANIMALTRAP,animal trap,动物陷阱,,1
,,{} animal trap,{}动物陷阱,,1
20,TABLE,table,桌子,,1
,,{} table,{}桌,1,1
21,COFFIN,coffin,灵柩,,1
,,sarcophagus,华棺,,
,,sarcophagi,华棺,,
,,{} casket,{}棺,,1
,,{} sarcophagus,{}华棺,,
,,{} sarcophagi,{}华棺,,
,,{} coffin,{}灵柩,,1
22,STATUE,statue,雕像,,1
,,{} statue,{}雕像,,1
23,CORPSE,corpse,尸体,,1
,,rotten corpse,腐烂的尸体,,1
24,WEAPON,weapon,武器,,1
,,{} weapon,{}武器,,1
25,ARMOR,armor,盔甲,,
,,suits of armor,盔甲,,
,,{} armor,{}盔甲,,
,,{} suits of armor,{}盔甲,,
26,SHOES,footwear,鞋装,,
,,{} footwear,{}鞋装,,
27,SHIELD,shield,尖盾,,
,,shield/buckler,尖盾/圆盾,,
,,shields/bucklers,尖盾/圆盾,,
,,{} shield/buckler,{}尖盾/圆盾,,
,,{} shields/bucklers,{}尖盾/圆盾,,
28,HELM,headwear,头装,,
,,{} headwear,{}头装,,
29,GLOVES,handwear,手装,,
,,{} left handwear,{}左手装,,
,,{} right handwear,{}右手装,,
30,BOX,box,盒子,,
,,boxes,盒子,,
,,coffer,保险箱,,1
,,chest,箱子,,1
,,{} box,{}盒子,,
,,{} boxes,{}盒子,,
,,{} coffer,{}保险箱,,1
,,{} chest,{}箱子,,1
31,BAG,bag,袋子,,1
,,{} bag,{}袋子,,1
32,BIN,bin,储物箱,,1
,,{} bin,{}储物箱,,1
33,ARMORSTAND,armor stand,盔甲支架,,1
,,{} armor stand,{}盔甲支架,,1
34,WEAPONRACK,weapon rack,武器支架,,1
,,{} weapon rack,{}武器支架,,1
35,CABINET,cabinet,柜子,,1
,,{} cabinet,{}柜子,,1
36,FIGURINE,figurine,小塑像,,1
,,{} figurine,{}小塑像,,1
37,AMULET,amulet,护符,,1
,,{} amulet,{}护符,,1
38,SCEPTER,scepter,节杖,,1
,,{} scepter,{}节杖,,1
39,AMMO,ammo,弹药,,
,,ammunition,弹药,,
,,{} ammunition,{}弹药,,
40,CROWN,crown,王冠,,
41,RING,ring,戒指,,
42,EARRING,earring,耳环,,
43,BRACELET,bracelet,手镯,,
44,GEM,large gem,大型宝石,,
45,ANVIL,anvil,金属砧,,
46,CORPSEPIECE,body part,身体部分,,
47,REMAINS,remains,残骸,,
48,MEAT,meat,肉,,
49,FISH,fish,鱼,,
50,FISH_RAW,raw fish,生鱼,,
51,VERMIN,vermin,害虫,,
52,PET,tame vermin,被驯化的害虫,,
53,SEEDS,seeds,种子,,
54,PLANT,plant,植物,,
55,SKIN_TANNED,leather,皮革,,
56,PLANT_GROWTH,plant growth,植物生长,,
57,THREAD,thread,细线,,
58,CLOTH,cloth,布匹,,
59,TOTEM,totem,图腾,,
60,PANTS,legwear,腿装,,
61,BACKPACK,backpack,背包,,
62,QUIVER,quiver,箭筒,,
63,CATAPULTPARTS,catapult part,投石机部件,,
64,BALLISTAPARTS,ballista part,弩炮部件,,
65,SIEGEAMMO,siege ammo,攻城弹药,,
66,BALLISTAARROWHEAD,ballista arrow head,弩炮弓箭头,,
67,TRAPPARTS,mechanism,机件,,
68,TRAPCOMP,trap component,陷阱组件,,
69,DRINK,drink,饮料,,
70,POWDER_MISC,powder,粉末,,
71,CHEESE,cheese,奶酪,,
72,FOOD,prepared meal,预备的餐点,,
73,LIQUID_MISC,liquid,液体,,
74,COIN,coin,硬币,,
75,GLOB,glob,软团,,
76,ROCK,small rock,小岩块,,
77,PIPE_SECTION,pipe section,管段,,
78,HATCH_COVER,hatch cover,活动盖板,,
79,GRATE,grate,格栅,,
80,QUERN,quern,手推磨,,
81,MILLSTONE,millstone,磨石,,
82,SPLINT,splint,夹板,,
83,CRUTCH,crutch,拐杖,,
84,TRACTION_BENCH,traction bench,牵引台,,
85,ORTHOPEDIC_CAST,orthopedic cast,石膏,,
86,TOOL,tool,工具,,
87,SLAB,slab,石板,,
88,EGG,egg,蛋,,
89,BOOK,book,书籍,,
90,SHEET,sheet,纸类,,
91,BRANCH,branch,枝条,,
