table,text,translation
REINFORCED:PREFIX,rusted metal-reinforced,녹슨 금속으로 보강된
REINFORCED:PREFIX,twisting metal-reinforced,뒤틀린 금속으로 보강된
REINFORCED:PREFIX,dark metal-reinforced,어두운 금속으로 보강된
REINFORCED:PREFIX,glowing metal-reinforced,은은히 빛나는 금속으로 보강된
REINFORCED:PREFIX,bright metal-reinforced,밝은 금속으로 보강된
REINFORCED:PREFIX,pale metal-reinforced,창백한 금속으로 보강된
REINFORCED:PREFIX,pock-marked metal-reinforced,움푹 패인 금속으로 보강된
REINFORCED:PREFIX,blistered metal-reinforced,부풀어 오른 금속으로 보강된
REINFORCED:PREFIX,ruddy metal-reinforced,붉그스름한 금속으로 보강된
REINFORCED:PREFIX,flickering metal-reinforced,깜박이는 금속으로 보강된
REINFORCED:PREFIX,faceted metal-reinforced,각면이 있는 금속으로 보강된
REINFORCED:PREFIX,shining metal-reinforced,빛나는 금속으로 보강된
REINFORCED:PREFIX,flashing metal-reinforced,번쩍이는 금속으로 보강된
REINFORCED:PREFIX,translucent metal-reinforced,반투명한 금속으로 보강된
REINFORCED:PREFIX,frosty metal-reinforced,서리가 낀 금속으로 보강된
REINFORCED:PREFIX,slick metal-reinforced,매끈한 금속으로 보강된
REINFORCED:PREFIX,singing metal-reinforced,노래하는 금속으로 보강된
REINFORCED:PREFIX,black metal-reinforced,검은 금속으로 보강된
REINFORCED:PREFIX,multicolored metal-reinforced,다채로운 금속으로 보강된
REINFORCED:PREFIX,clear blue metal-reinforced,맑은 파란 금속으로 보강된
REINFORCED:PREFIX,twinkling metal-reinforced,반짝이는 금속으로 보강된
REINFORCED:PREFIX,crashing metal-reinforced,부서진 금속으로 보강된
REINFORCED:PREFIX,blazing metal-reinforced,불타는 금속으로 보강된
REINFORCED:PREFIX,booming metal-reinforced,굉음이 나는 금속으로 보강된
REINFORCED:PREFIX,searing metal-reinforced,작열하는 금속으로 보강된
REINFORCED:PREFIX,flowing metal-reinforced,흐르는 금속으로 보강된
