table,text,translation
POSITION,{SINGULAR},{SINGULAR}
POSITION,{PLURAL},{PLURAL}
POSITION:SINGULAR,{:POSITION:MOUNTAIN:SINGULAR},{:POSITION:MOUNTAIN:SINGULAR}
POSITION:SINGULAR,{:POSITION:FOREST:SINGULAR},{:POSITION:FOREST:SINGULAR}
POSITION:PLURAL,{:POSITION:MOUNTAIN:PLURAL},{:POSITION:MOUNTAIN:PLURAL}
POSITION:PLURAL,{:POSITION:FOREST:PLURAL},{:POSITION:FOREST:PLURAL}
POSITION:MOUNTAIN:SINGULAR,monarch,君主
POSITION:MOUNTAIN:SINGULAR,general,将军
POSITION:MOUNTAIN:SINGULAR,lieutenant,中尉
POSITION:MOUNTAIN:SINGULAR,captain,队长
POSITION:MOUNTAIN:SINGULAR,militia commander,军事指挥官
POSITION:MOUNTAIN:SINGULAR,militia captain,军事队长
POSITION:MOUNTAIN:SINGULAR,sheriff,治安官
POSITION:MOUNTAIN:SINGULAR,captain of the guard,卫队统领
POSITION:MOUNTAIN:SINGULAR,expedition leader,远征领袖
POSITION:MOUNTAIN:SINGULAR,mayor,市长
POSITION:MOUNTAIN:SINGULAR,manager,经理人
POSITION:MOUNTAIN:SINGULAR,chief medical dwarf,首席矮人医师
POSITION:MOUNTAIN:SINGULAR,broker,交易员
POSITION:MOUNTAIN:SINGULAR,bookkeeper,簿记员
POSITION:MOUNTAIN:SINGULAR,outpost liaison,前哨联络员
POSITION:MOUNTAIN:SINGULAR,diplomat,外交官
POSITION:MOUNTAIN:SINGULAR,duke,公爵
POSITION:MOUNTAIN:SINGULAR,count,伯爵
POSITION:MOUNTAIN:SINGULAR,baron,男爵
POSITION:MOUNTAIN:SINGULAR,champion,冠军
POSITION:MOUNTAIN:SINGULAR,hammerer,锤刑官
POSITION:MOUNTAIN:SINGULAR,dungeon master,地牢主管
POSITION:MOUNTAIN:SINGULAR,administrator,管理员
POSITION:MOUNTAIN:SINGULAR,messenger,信使
POSITION:FOREST:SINGULAR,druid,德鲁伊
POSITION:FOREST:SINGULAR,acolyte,侍僧
POSITION:FOREST:SINGULAR,princess,公主
POSITION:FOREST:SINGULAR,queen,女王
POSITION:FOREST:SINGULAR,diplomat,外交官
POSITION:FOREST:SINGULAR,ranger captain,游侠队长
POSITION:MOUNTAIN:PLURAL,monarchs,君主
POSITION:MOUNTAIN:PLURAL,generals,将军
POSITION:MOUNTAIN:PLURAL,lieutenants,中尉
POSITION:MOUNTAIN:PLURAL,captains,队长
POSITION:MOUNTAIN:PLURAL,militia commanders,军事指挥官
POSITION:MOUNTAIN:PLURAL,militia captains,军事队长
POSITION:MOUNTAIN:PLURAL,sheriffs,治安官
POSITION:MOUNTAIN:PLURAL,captains of the guard,卫队统领
POSITION:MOUNTAIN:PLURAL,expedition leaders,远征领袖
POSITION:MOUNTAIN:PLURAL,mayors,市长
POSITION:MOUNTAIN:PLURAL,managers,经理人
POSITION:MOUNTAIN:PLURAL,chief medical dwarves,首席矮人医师
POSITION:MOUNTAIN:PLURAL,brokers,交易员
POSITION:MOUNTAIN:PLURAL,bookkeepers,簿记员
POSITION:MOUNTAIN:PLURAL,outpost liaisons,前哨联络员
POSITION:MOUNTAIN:PLURAL,diplomats,外交官
POSITION:MOUNTAIN:PLURAL,dukes,公爵
POSITION:MOUNTAIN:PLURAL,counts,伯爵
POSITION:MOUNTAIN:PLURAL,barons,男爵
POSITION:MOUNTAIN:PLURAL,champions,冠军
POSITION:MOUNTAIN:PLURAL,hammerers,锤刑官
POSITION:MOUNTAIN:PLURAL,dungeon masters,地牢主管
POSITION:MOUNTAIN:PLURAL,administrators,管理员
POSITION:MOUNTAIN:PLURAL,messengers,信使
POSITION:FOREST:PLURAL,druids,德鲁伊
POSITION:FOREST:PLURAL,acolytes,侍僧
POSITION:FOREST:PLURAL,princesses,公主
POSITION:FOREST:PLURAL,queens,女王
POSITION:FOREST:PLURAL,diplomats,外交官
POSITION:FOREST:PLURAL,ranger captains,游侠队长
