table,text,translation
PLANT_GROWTH,{SINGULAR},{SINGULAR}
PLANT_GROWTH,{PLURAL},{PLURAL}
PLANT_GROWTH:SINGULAR,{:PLANT_GROWTH:BUSH:SINGULAR},{:PLANT_GROWTH:BUSH:SINGULAR}
PLANT_GROWTH:SINGULAR,{:PLANT_GROWTH:TREE:SINGULAR},{:PLANT_GROWTH:TREE:SINGULAR}
PLANT_GROWTH:SINGULAR,{:PLANT_GROWTH:GRASS:SINGULAR},{:PLANT_GROWTH:GRASS:SINGULAR}
PLANT_GROWTH:PLURAL,{:PLANT_GROWTH:BUSH:PLURAL},{:PLANT_GROWTH:BUSH:PLURAL}
PLANT_GROWTH:PLURAL,{:PLANT_GROWTH:TREE:PLURAL},{:PLANT_GROWTH:TREE:PLURAL}
PLANT_GROWTH:PLURAL,{:PLANT_GROWTH:GRASS:PLURAL},{:PLANT_GROWTH:GRASS:PLURAL}
PLANT_GROWTH:BUSH:SINGULAR,papyrus leaf,纸莎草叶
PLANT_GROWTH:BUSH:SINGULAR,papyrus flower cluster,纸莎草花簇
PLANT_GROWTH:BUSH:SINGULAR,artichoke heart,洋蓟菜心
PLANT_GROWTH:BUSH:SINGULAR,asparagus berry,芦笋浆果
PLANT_GROWTH:BUSH:SINGULAR,beet flower spike,甜菜穗状花序
PLANT_GROWTH:BUSH:SINGULAR,cabbage flower spike,卷心菜穗状花序
PLANT_GROWTH:BUSH:SINGULAR,caper berry,刺山柑浆果
PLANT_GROWTH:BUSH:SINGULAR,carrot leaf,胡罗卜叶
PLANT_GROWTH:BUSH:SINGULAR,carrot umbel,胡罗卜伞形花序
PLANT_GROWTH:BUSH:SINGULAR,celery umbel,芹菜伞形花序
PLANT_GROWTH:BUSH:SINGULAR,eggplant,茄子
PLANT_GROWTH:BUSH:SINGULAR,garden cress raceme,水芹总状花序
PLANT_GROWTH:BUSH:SINGULAR,garlic bulb,大蒜球茎
PLANT_GROWTH:BUSH:SINGULAR,lettuce flower stalk,生菜花梗
PLANT_GROWTH:BUSH:SINGULAR,onion umbel,洋葱伞形花序
PLANT_GROWTH:BUSH:SINGULAR,parsnip umbel,防风草伞形花序
PLANT_GROWTH:BUSH:SINGULAR,radish raceme,小萝卜总状花序
PLANT_GROWTH:BUSH:SINGULAR,red bean pod,红豆荚
PLANT_GROWTH:BUSH:SINGULAR,grape inflorescence,葡萄花序
PLANT_GROWTH:BUSH:SINGULAR,quarry bush leaf,矿场灌木叶
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT:BUSH:BUSH},{:PLANT:BUSH:BUSH}
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT:BUSH:PLANT},{:PLANT:BUSH:PLANT}
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT:BUSH:VINE},{:PLANT:BUSH:VINE}
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER_CLUSTER} flower cluster,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER_CLUSTER}花簇
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER} flower,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER}花
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT_GROWTH:BUSH:PREFIX:INFLORESCENCE} inflorescence,{:PLANT_GROWTH:BUSH:PREFIX:INFLORESCENCE}花序
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT_GROWTH:BUSH:PREFIX:LEAF} leaf,{:PLANT_GROWTH:BUSH:PREFIX:LEAF}叶
PLANT_GROWTH:BUSH:SINGULAR,{:PLANT_GROWTH:BUSH:PREFIX:POD} pod,{:PLANT_GROWTH:BUSH:PREFIX:POD}荚
PLANT_GROWTH:BUSH:PLURAL,papyrus leaves,纸莎草叶
PLANT_GROWTH:BUSH:PLURAL,papyrus flower clusters,纸莎草花簇
PLANT_GROWTH:BUSH:PLURAL,artichoke hearts,洋蓟菜心
PLANT_GROWTH:BUSH:PLURAL,asparagus berries,芦笋浆果
PLANT_GROWTH:BUSH:PLURAL,beet flower spikes,甜菜穗状花序
PLANT_GROWTH:BUSH:PLURAL,cabbage flower spikes,卷心菜穗状花序
PLANT_GROWTH:BUSH:PLURAL,caper berries,刺山柑浆果
PLANT_GROWTH:BUSH:PLURAL,carrot leaves,胡罗卜叶
PLANT_GROWTH:BUSH:PLURAL,carrot umbels,胡罗卜伞形花序
PLANT_GROWTH:BUSH:PLURAL,celery umbels,芹菜伞形花序
PLANT_GROWTH:BUSH:PLURAL,eggplants,茄子
PLANT_GROWTH:BUSH:PLURAL,garden cress racemes,水芹总状花序
PLANT_GROWTH:BUSH:PLURAL,garlic bulbs,大蒜球茎
PLANT_GROWTH:BUSH:PLURAL,lettuce flower stalks,生菜花梗
PLANT_GROWTH:BUSH:PLURAL,onion umbels,洋葱伞形花序
PLANT_GROWTH:BUSH:PLURAL,parsnip umbels,防风草伞形花序
PLANT_GROWTH:BUSH:PLURAL,radish racemes,小萝卜总状花序
PLANT_GROWTH:BUSH:PLURAL,red bean pods,红豆荚
PLANT_GROWTH:BUSH:PLURAL,grape inflorescences,葡萄花序
PLANT_GROWTH:BUSH:PLURAL,quarry bush leaves,矿场灌木叶
PLANT_GROWTH:BUSH:PLURAL,bitter melons,苦瓜
PLANT_GROWTH:BUSH:PLURAL,capers,刺山柑
PLANT_GROWTH:BUSH:PLURAL,cucumbers,黄瓜
PLANT_GROWTH:BUSH:PLURAL,horned melons,刺角瓜
PLANT_GROWTH:BUSH:PLURAL,muskmelons,甜瓜
PLANT_GROWTH:BUSH:PLURAL,onions,洋葱
PLANT_GROWTH:BUSH:PLURAL,peppers,胡椒
PLANT_GROWTH:BUSH:PLURAL,squashes,西葫芦
PLANT_GROWTH:BUSH:PLURAL,tomatoes,番茄
PLANT_GROWTH:BUSH:PLURAL,tomatillos,灯笼番茄
PLANT_GROWTH:BUSH:PLURAL,watermelons,西瓜
PLANT_GROWTH:BUSH:PLURAL,winter melons,冬瓜
PLANT_GROWTH:BUSH:PLURAL,passion fruits,百香果
PLANT_GROWTH:BUSH:PLURAL,grapes,葡萄
PLANT_GROWTH:BUSH:PLURAL,cranberries,蔓越莓
PLANT_GROWTH:BUSH:PLURAL,bilberries,越橘
PLANT_GROWTH:BUSH:PLURAL,blueberries,蓝莓
PLANT_GROWTH:BUSH:PLURAL,blackberries,黑莓
PLANT_GROWTH:BUSH:PLURAL,raspberries,树莓
PLANT_GROWTH:BUSH:PLURAL,pineapples,菠萝
PLANT_GROWTH:BUSH:PLURAL,strawberries,草莓
PLANT_GROWTH:BUSH:PLURAL,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER_CLUSTER} flower clusters,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER_CLUSTER}花簇
PLANT_GROWTH:BUSH:PLURAL,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER} flowers,{:PLANT_GROWTH:BUSH:PREFIX:FLOWER}花
PLANT_GROWTH:BUSH:PLURAL,{:PLANT_GROWTH:BUSH:PREFIX:INFLORESCENCE} inflorescences,{:PLANT_GROWTH:BUSH:PREFIX:INFLORESCENCE}花序
PLANT_GROWTH:BUSH:PLURAL,{:PLANT_GROWTH:BUSH:PREFIX:LEAF} leaves,{:PLANT_GROWTH:BUSH:PREFIX:LEAF}叶
PLANT_GROWTH:BUSH:PLURAL,{:PLANT_GROWTH:BUSH:PREFIX:POD} pods,{:PLANT_GROWTH:BUSH:PREFIX:POD}荚
PLANT_GROWTH:BUSH:PREFIX:FLOWER,{:PLANT:BUSH:BUSH},{:PLANT:BUSH:BUSH}
PLANT_GROWTH:BUSH:PREFIX:FLOWER,{:PLANT:BUSH:PLANT},{:PLANT:BUSH:PLANT}
PLANT_GROWTH:BUSH:PREFIX:FLOWER,{:PLANT:BUSH:SINGULAR},{:PLANT:BUSH:SINGULAR}
PLANT_GROWTH:BUSH:PREFIX:FLOWER,{:PLANT:BUSH:VINE},{:PLANT:BUSH:VINE}
PLANT_GROWTH:BUSH:PREFIX:FLOWER_CLUSTER,{:PLANT:BUSH:SINGULAR},{:PLANT:BUSH:SINGULAR}
PLANT_GROWTH:BUSH:PREFIX:INFLORESCENCE,{:PLANT:BUSH:SINGULAR},{:PLANT:BUSH:SINGULAR}
PLANT_GROWTH:BUSH:PREFIX:LEAF,{:PLANT:BUSH:BUSH},{:PLANT:BUSH:BUSH}
PLANT_GROWTH:BUSH:PREFIX:LEAF,{:PLANT:BUSH:PLANT},{:PLANT:BUSH:PLANT}
PLANT_GROWTH:BUSH:PREFIX:LEAF,{:PLANT:BUSH:SINGULAR},{:PLANT:BUSH:SINGULAR}
PLANT_GROWTH:BUSH:PREFIX:LEAF,{:PLANT:BUSH:VINE},{:PLANT:BUSH:VINE}
PLANT_GROWTH:BUSH:PREFIX:POD,{:PLANT:BUSH:PLANT},{:PLANT:BUSH:PLANT}
PLANT_GROWTH:BUSH:PREFIX:POD,{:PLANT:BUSH:SINGULAR},{:PLANT:BUSH:SINGULAR}
PLANT_GROWTH:TREE:SINGULAR,cashew apple,腰果梨
PLANT_GROWTH:TREE:SINGULAR,coffee flower cluster,咖啡花簇
PLANT_GROWTH:TREE:SINGULAR,coffee cherry,咖啡果
PLANT_GROWTH:TREE:SINGULAR,paradise nut raceme,天堂果总状花序
PLANT_GROWTH:TREE:SINGULAR,paradise nut fruit,天堂果
PLANT_GROWTH:TREE:SINGULAR,tea tree capsule,茶树蒴果
PLANT_GROWTH:TREE:SINGULAR,date palm frond blade,枣棕榈刃叶
PLANT_GROWTH:TREE:SINGULAR,date palm flower stalk,枣棕榈花梗
PLANT_GROWTH:TREE:SINGULAR,date,椰枣
PLANT_GROWTH:TREE:SINGULAR,macadamia raceme,奶油果总状花序
PLANT_GROWTH:TREE:SINGULAR,macadamia nut,奶油果坚果
PLANT_GROWTH:TREE:SINGULAR,olive raceme,橄榄总状花序
PLANT_GROWTH:TREE:SINGULAR,ginkgo seed,银杏种子
PLANT_GROWTH:TREE:SINGULAR,hazel nut,榛子
PLANT_GROWTH:TREE:SINGULAR,walnut flower cluster,核桃花簇
PLANT_GROWTH:TREE:SINGULAR,pine needle,松针
PLANT_GROWTH:TREE:SINGULAR,cedar scale-leaf,雪松鳞叶
PLANT_GROWTH:TREE:SINGULAR,acorn,橡子
PLANT_GROWTH:TREE:SINGULAR,acacia seed pod,刺槐种荚
PLANT_GROWTH:TREE:SINGULAR,maple samara,枫树翼果
PLANT_GROWTH:TREE:SINGULAR,feather tree down,羽毛树绒
