table,text,translation
REQUIRE,{NAME},{NAME}
REQUIRE:NAME,[Requires Unrotten fermentable leaf or fruit],[썩지 않은 발효 가능한 잎 또는 과일 필요]
REQUIRE:NAME,[Requires Unrotten fermentable plants],[썩지 않은 발효 가능한 식물 필요]
REQUIRE:NAME,[Requires Honey-containing item],[꿀이 들어 있는 물품 필요]
REQUIRE:NAME,[Requires Potash],[탄산칼륨 필요]
REQUIRE:NAME,[Requires Clay boulders],[점토 바위덩이 필요]
REQUIRE:NAME,[Requires Empty bag],[빈 자루 필요]
REQUIRE:NAME,[Requires Empty unimproved glazable item],[유약칠되지 않은 유약칠 가능한 공예품 필요]
REQUIRE:NAME,[Requires Empty unimproved glazable jug],[유약칠되지 않은 유약칠 가능한 빈 물병 필요]
REQUIRE:NAME,[Requires Empty unimproved glazable statue],[유약칠되지 않은 유약칠 가능한 조각상 필요]
REQUIRE:NAME,[Requires Empty unimproved glazable large pot],[유약칠되지 않은 유약칠 가능한 빈 큰 단지 필요]
REQUIRE:NAME,[Requires Gypsum boulders],[석고 바위덩이 필요]
REQUIRE:NAME,[Requires Calcite/limestone/chalk/marble boulders],[방해석/석회암/백악/대리석 바위덩이 필요]
REQUIRE:NAME,[Requires Window],[창문 필요]
REQUIRE:NAME,[Requires Plant logs],[식물 통나무 필요]
REQUIRE:NAME,[Requires Oil-containing item],[식물성 기름이 들어 있는 물품 필요]
REQUIRE:NAME,[Requires Unrotten tallow fatty glob],[썩지 않은 우지 지방 덩어리 필요]
REQUIRE:NAME,[Requires Lye-containing item],[잿물이 들어 있는 물품 필요]
REQUIRE:NAME,[Requires Scroll rollers],[두루마리 축 필요]
REQUIRE:NAME,[Requires Wax glob],[밀랍 덩어리 필요]
REQUIRE:NAME,[Requires Collected thread],[수집한 실 필요]
REQUIRE:NAME,[Requires Sheet],[종이 필요]
REQUIRE:NAME,[Requires Book binding],[책 제본 필요]
REQUIRE:NAME,[Requires Unrotten bone body part],[썩지 않은 뼈 신체 부위 필요]
REQUIRE:NAME,[Requires Logs],[통나무 필요]
REQUIRE:NAME,[Requires Non-economic hard stone boulders],[비경제적 단단한 암석 바위덩이 필요]
REQUIRE:NAME,[Requires Unrotten shell body part],[썩지 않은 껍데기 신체 부위 필요]
REQUIRE:NAME,[Requires Collected plant thread],[수집한 식물 섬유 실 필요]
REQUIRE:NAME,[Requires Unrotten paper-making plants],[썩지 않은 제지용 식물 필요]
REQUIRE:NAME,[Requires Milk of lime-containing item],[석회유가 들어 있는 물품 필요]
REQUIRE:NAME,[Requires Unrotten tannable body part],[썩지 않은 무두질 가능한 신체 부위 필요]
REQUIRE:NAME,[Requires Empty bucket],[빈 양동이 필요]
REQUIRE:NAME,[Requires Quicklime-containing item],[생석회가 들어 있는 물품 필요]
REQUIRE:NAME,[Requires Non-pressed honey-bearing honeycomb],[압착하지 않은 꿀이 든 벌집 필요]
REQUIRE:NAME,[Requires Unrotten non-pressed oil-bearing leaf or fruit],[썩지 않은 압착하지 않은 기름 함유 과일/잎 필요]
REQUIRE:NAME,[Requires Non-pressed oil-bearing glob],[압착하지 않은 기름 함유 덩어리 필요]
REQUIRE:NAME,[Requires Non-pressed paper-slurry glob],[압착하지 않은 종이 펄프 덩어리 필요]
REQUIRE:NAME,[Requires Liquid container],[액체 용기 필요]
REQUIRE:NAME,[Requires Tanned hide],[무두질한 가죽 필요]
REQUIRE:NAME,[Requires Unrotten paper-slurryable plants],[썩지 않은 종이 펄프용 식물 필요]
REQUIRE:NAME,[Requires Unrotten oil-bearing seeds],[썩지 않은 기름 함유 씨앗 필요]
REQUIRE:NAME,[Requires Sand-containing item],[모래가 들어 있는 물품 필요]
REQUIRE:NAME,[Requires Written-on quire],[글이 적힌 필사본 필요]
REQUIRE:NAME,{BAR_REQUIRE},{BAR_REQUIRE}
REQUIRE:NAME:BAR_REQUIRE,{:MATERIAL:STATE:SHARED},{:MATERIAL:STATE:SHARED}
REQUIRE:NAME:BAR_REQUIRE:^0,[Requires,[필요
REQUIRE:NAME:BAR_REQUIRE:$0,bars],주괴]
REQUIRE:NAME:BAR_REQUIRE,Bituminous coal],역청탄]
REQUIRE:NAME:BAR_REQUIRE,Lignite],갈탄]
REQUIRE:NAME:BAR_REQUIRE,fuel],연료]
REQUIRE:NAME:BAR_REQUIRE,ore],광석]
REQUIRE:NAME:BAR_REQUIRE,Adamantine strands],정금 실]
REQUIRE:NAME:BAR_REQUIRE,Zinc-bearing boulders],아연 함유 광석]
REQUIRE:NAME:BAR_REQUIRE,Tin-bearing boulders],주석 함유 광석]
REQUIRE:NAME:BAR_REQUIRE,Copper-bearing boulders],구리 함유 광석]
REQUIRE:NAME:BAR_REQUIRE,Silver-bearing boulders],은 함유 광석]
REQUIRE:NAME:BAR_REQUIRE,Gold-bearing boulders],금 함유 광석]
REQUIRE:NAME:BAR_REQUIRE,Flux boulders],용제석]
