text,translation
Reinforced Wall,보강 벽
Make bolt thrower parts,볼트 투척기 부품 제작
Bolt Thrower,볼트 투척기
Resting orientation,대기 방향
Bolts loaded,장전된 볼트 수
"Bolts nearby and available: ","근처에서 사용 가능한 볼트 수: "
"Bolts nearby but assigned to squads: ","근처에 있지만 부대에 할당된 볼트 수: "
"Bolts nearby but assigned to hunters: ","근처에 있지만 사냥꾼에게 할당된 볼트 수: "
Keep loaded but do not stand ready,장전 상태는 유지하되 조작자는 배치하지 않음
Stand ready but do not fire,조작자는 배치하되 발사하지 않음
Practice fire (uses many bolts!),훈련 사격(볼트를 매우 많이 소모합니다!)
Practice fire,훈련 사격
* Will also target enemies,* 적도 겨냥함
* Place archery targets for better training,* 더 나은 훈련을 위해 양궁 과녁을 배치
Fire at enemies,적에게 사격
[Requires Unrotten fat renderable glob],[썩지 않은 정제 가능한 지방 덩어리가 필요]
PETITIONS,청 원
" (V Rusty)"," (매우 녹슨)"
" (Rusty)"," (녹슨)"
Assemble,조립
"This crucial building ",이 중요한 건물은 무역의 중심지이며，
"is where all trading ",다른 문명의 짐짐승은 지도 가장자리에서
"will be done.  Pack ",이 건물까지의 통행 경로가 필요합니다。그리고
"animals from distant ",추후에는，마차가 다닐 수 있도록 3칸 너비의 통행로가
"civilizations will need ",확보되어야 합니다。
"to access this building ",
"from the edge of the ",
"map.  Later, wagons ",
"will need a clear ",
"3-wide path to the ",
depot.,
Cut raw glass into gems,생유리를 보석으로 깎기
Specify image,이미지 지정
Succumb to the invasion,　　　침공에 굴복
Save and return to title menu,　　　저장하고 타이틀 메뉴로 돌아가기
Save and continue playing,　　　저장하고 계속 플레이
Abandon the fortress to ruin,　　　요새를 버리기
Quit without saving,　　　저장하지 않고 종료
Settings,　 설정
Return to game,　　　게임으로 돌아가기
Continue active game,　　　　진행 중인 게임 계속하기
Start new game in existing world,　　　　　기존 세계에서 새 게임 시작
Create new world,　　새 세계 생성
Object testing arena,　　　객체 테스트 아레나
Mods,모드
"Set tree chopping ",나무 베기 명령을 설정합니다。
orders.,
"Set plant gathering ",식물 채집 명령을 설정합니다。
Set wall smoothing,벽 다듬기，새김，궤도 새기기
"engraving, track ",및 총안 새기기 명령을 설정합니다。
"carving, and ",
fortification orders.,
"Hotkey: ","단축키: "
"Remove mining, ","채굴, 벌목, 식물 채집을 취소하고"
"woodcutting, plant ",연마 명령입니다.
"gathering, and ",
smoothing orders.,
"Place structures and ",건축 자재가 필요한 구조물과
"work areas that require ",작업장을 배치합니다.
construction materials.,
"Place stockpiles for ",물품을 저장할 비축구역을 배치합니다.
item storage.,
"Place zones to ","집회 구역을 만들 기능 구역을 배치하고,"
"establish meeting ",방목 등 다른 기능을 설정합니다.
"areas, pastures, and ",
more.,
"Establish burrows to ",활동 구역을 설정하여
"organize work and ",더 큰 요새의 작업과 주거 공간을 조직합니다.
"living spaces in larger ",
fortresses.,
"Set hauling routes for ",광차 운송 경로를 설정합니다.
minecarts.,
"Set high and low ",높은 우선순위와 낮은 우선순위 통행 구역을 설정합니다.
traffic areas.,
"Designate items for ","물품을 버리거나 용해하도록 지정하고,"
"dumping and melting, ","비활성화된 물품과 건축물을 활성화하며,"
"claim forbidden items ",물품의 가시성을 설정합니다.
"and buildings, and set ",
item visibility.,
"Link a stockpile to ",
"this stop.  Citizens ",
"will haul items to and ",
"from the minecart as ",
"you specify.  Items for ",
"the minecart must be ",이 정차지를 비축구역에 연결합니다.
"specified using the ",거주민들이 설정에 따라 광차에 물품을 싣고 내립니다.
"desired items button to ",광차에 적재할 물품은 또한
the left.,왼쪽의 필요한 물품 버튼에서 추가로 설정해야 합니다.
"Most tasks in the ",요새의 거의 모든 작업은 공방에서
"fortress are started ",시작되고 완료됩니다. 작업은 보통 원자재가 필요합니다.
"and completed at ","대부분의 공방은 바위,"
"workshops.  Tasks ",벽돌이나 목재로 지어집니다.
"generally require raw ",
"materials and most ",
"workshops are ",
"constructed from ",
"boulders, blocks, or ",
"Open the nobles and ",귀족 및 관리 명단을 엽니다.
administrators menu.,
"Open the work orders ",작업 지시 목록을 엽니다.
menu.,
"Open the place ",장소 정보 메뉴를 엽니다.
information menu.,
"Open the task ",작업 정보 메뉴를 엽니다.
"Open the citizen ",주민 정보 메뉴를 엽니다
Open the labor menu.,노동 메뉴를 엽니다.
Open the objects menu.,물품 메뉴를 엽니다.
Open the justice menu.,사법 메뉴를 엽니다.
Open the squad sidebar.,분대 사이드바를 엽니다.
Open the world screen.,세계 화면을 엽니다.
Set digging orders.,굴착 지시를 설정합니다.
"Dig a regular hallway ","일반적인 복도나 방을 굴착합니다. 만약 "
"or room.  Assign a ","광부가 없다면, 노동 메뉴에서 한 "
"miner to the work ","명의 광부를 배정할 수 있습니다. 광부는 작업을 "
"detail if necessary.  ",시작하려면 곡괭이가 필요합니다.
"The miner requires a ",
pick.,
"Dig a stairwell on this ","이 높이에서 위로 또는 아래로 이어지는 "
"level, going up or ","계단통을 굴착합니다. 선택 영역은 여러 "
"down.  Your selection ","높이에 걸쳐야 합니다. 타일을 클릭하고 높이를 "
"must span multiple ",바꾼 다음 다시 클릭하세요.
"elevations.  Click on a ",
"tile, change ",
"elevations, and click ",
again.,
"Dig a ramp on this ",이 높이에서 위로 올라가는 경사로를 굴착합니다.
"level, going up.",
"Dig a channel, making a ","수로를 파고, 한 층 아래 높이에 경사로를 "
ramp on the level below.,만듭니다.
"Designate constructed ","지어진 벽, 바닥 및 기타 "
"walls, floors, and ","건설된 타일을 광부가 철거하도록 지정합니다. 또한 "
"other constructed tiles ",모든 계단통과 경사로를 지정합니다.
"to be removed by ",
"miners.  This also ",
"designates all ",
stairwells and ramps.,
"Left click to choose ",왼쪽 버튼을 클릭하여 직사각형의 한 모서리를 선택합니다.
corners of a rectangle.,
"Hold left button to ",왼쪽 버튼을 누른 채로 그립니다.
draw.,
"Dig only ore and gems ","　　선택한 광석과 보석만 굴착하고, "
"selected, and automine ","새로 드러난 같은 종류의 광석과 "
"any ore and gems of the ",보석을 자동으로 채굴합니다.
"same type which are ",
uncovered.,
"Dig only ore and gems ",선택한 광석과 보석만 굴착합니다.
selected,
"Selected tiles are very ",
high priority.,선택한 영역은 최고 우선순위로 설정됩니다.
low priority.,선택한 영역은 최저 우선순위로 설정됩니다.
"Selected tiles are high ",선택한 타일은 높은 우선순위로 설정됩니다。
"Selected tiles are low ",선택한 타일은 낮은 우선순위로 설정됩니다。
priority.,
